images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/500260.jpg', 'path': 'full/952eb3729f60dffdf11b40d6caa2e5c8c05ba1e3.jpg', 'checksum': 'ecd8cfd9c333f9d0194ca9e06d818b6c'}]",Be Quiet! System Power 7 300W,http://www.informatique.nl/500260/be-quiet-system-power-7-300w.html,Informatique,"€ 33,00",http://img.informatique.nl/110/500260.jpg,"ATX ,300 Watt,80+ Efficiency,120mm Fan"
"[{'url': 'http://img.informatique.nl/110/557084.jpg', 'path': 'full/e1ed6622b1ecb6b2b4115cc47d61353047c3760c.jpg', 'checksum': 'ff66ae49dc3523a9cba028054ad4ebb4'}]",HKC SZ-450PDR Silent Power Supply 450W,http://www.informatique.nl/557084/hkc-sz-450pdr-silent-power-supply-450w.html,Informatique,"€ 27,00",http://img.informatique.nl/110/557084.jpg,"ATX ,450 Watt,120mm Fan"
"[{'url': 'http://img.informatique.nl/110/533357.jpg', 'path': 'full/ab5c90a83f5b710c681e8eca7e93ff8fdb3b3e18.jpg', 'checksum': '69c109d094dfac44cef09852bbc114b2'}]",CoolerMaster B500 500W,http://www.informatique.nl/533357/coolermaster-b500-500w.html,Informatique,"€ 43,00",http://img.informatique.nl/110/533357.jpg,"ATX ,500 Watt,80+ Efficiency,120mm fan"
"[{'url': 'http://img.informatique.nl/110/537218.jpg', 'path': 'full/74b2bb4aa161ba0d9851674c88ea0b80c342eec3.jpg', 'checksum': 'fa87c962362b9f9d726a17506c0eca37'}]",Be Quiet! System Power 7 400W,http://www.informatique.nl/537218/be-quiet-system-power-7-400w.html,Informatique,"€ 45,00",http://img.informatique.nl/110/537218.jpg,"ATX ,400 Watt,80+ Efficiency,120mm Fan"
"[{'url': 'http://img.informatique.nl/110/110922.jpg', 'path': 'full/ff314917012d3dee6034bfa3e5c6d2653eae15c0.jpg', 'checksum': 'f21bc111b3c55bc4615d0c7ba4723cfa'}]",Seasonic S12II 520W,http://www.informatique.nl/110922/seasonic-s12ii-520w.html,Informatique,"€ 53,00",http://img.informatique.nl/110/110922.jpg,"ATX ,520 Watt,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/131799.jpg', 'path': 'full/fcc5f0bf260fb46ce9d3f0f9e1c3d07df015c8df.jpg', 'checksum': '4f691b0ab98ace3951d1780201c451d4'}]",CoolerMaster VS550 550W,http://www.informatique.nl/131799/coolermaster-vs550-550w.html,Informatique,"€ 85,00",http://img.informatique.nl/110/131799.jpg,
"[{'url': 'http://img.informatique.nl/110/111954.jpg', 'path': 'full/ceef9653738ccbfe14e718ad1c5e1a0b9411b50a.jpg', 'checksum': 'd715e22f0b37166f46f39a32082f0419'}]",Seasonic M12II EVO 520W,http://www.informatique.nl/111954/seasonic-m12ii-evo-520w.html,Informatique,"€ 63,00",http://img.informatique.nl/110/111954.jpg,"ATX ,520 Watt,Modulair,80+ Efficiency,120mm fan"
"[{'url': 'http://img.informatique.nl/110/537217.jpg', 'path': 'full/3c015b51c3737ebc7b5f326a017e39b5448f5363.jpg', 'checksum': 'fa87c962362b9f9d726a17506c0eca37'}]",Be Quiet! System Power 7 350W,http://www.informatique.nl/537217/be-quiet-system-power-7-350w.html,Informatique,"€ 39,00",http://img.informatique.nl/110/537217.jpg,"ATX ,350 Watt,80+ Efficiency,120mm Fan"
"[{'url': 'http://img.informatique.nl/110/543021.jpg', 'path': 'full/a2192ecda62aac88e95b8e64610c037545583906.jpg', 'checksum': '8fea2eb6f54579281f3780a32146f808'}]",Corsair HX750i,http://www.informatique.nl/543021/corsair-hx750i.html,Informatique,"€ 144,00",http://img.informatique.nl/110/543021.jpg,
"[{'url': 'http://img.informatique.nl/110/519877.jpg', 'path': 'full/eb5eb790b7de65157840b1b6167e11085c4cd6a4.jpg', 'checksum': '41032aea75ab549cc6e3933da610d5ba'}]",CoolerMaster Elite Power 460W,http://www.informatique.nl/519877/coolermaster-elite-power-460w.html,Informatique,"€ 39,00",http://img.informatique.nl/110/519877.jpg,"ATX ,460 Watt,120mm Fan"
"[{'url': 'http://img.informatique.nl/110/556462.jpg', 'path': 'full/86c6edc5440f2a311da515fe1cb7738b2739b01e.jpg', 'checksum': '470c46cad36824af8534d9d7bd4554c4'}]",XFX Core Edition Pro 550 Watt,http://www.informatique.nl/556462/xfx-core-edition-pro-550-watt.html,Informatique,"€ 59,00",http://img.informatique.nl/110/556462.jpg,"ATX ,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/533358.jpg', 'path': 'full/4a03a8c55516c296aee664a41cf5ac237f532a19.jpg', 'checksum': '69c109d094dfac44cef09852bbc114b2'}]",CoolerMaster B600 600W,http://www.informatique.nl/533358/coolermaster-b600-600w.html,Informatique,"€ 53,00",http://img.informatique.nl/110/533358.jpg,"ATX ,600 Watt,80+ Efficiency,120 mm fan"
"[{'url': 'http://img.informatique.nl/110/222245.jpg', 'path': 'full/f871cf8fa5c32f8bd3051e6e1ea17104bb45abc8.jpg', 'checksum': '1e32c43f888803e4022c1b71fccba60f'}]",Streacom NanoPSU 150W + Adapter Kit,http://www.informatique.nl/222245/streacom-nanopsu-150w-adapter-kit.html,Informatique,"€ 89,00",http://img.informatique.nl/110/222245.jpg,
"[{'url': 'http://img.informatique.nl/110/529716.jpg', 'path': 'full/4c60130124cae0442d5e97b5c8763596bfa61ef5.jpg', 'checksum': '22c19f38687dc95131572764d9bb52f8'}]",Corsair ATX 500W CX500 Bronze Certified,http://www.informatique.nl/529716/corsair-atx-500w-cx500-bronze-certified.html,Informatique,"€ 57,00",http://img.informatique.nl/110/529716.jpg,
"[{'url': 'http://img.informatique.nl/110/531261.jpg', 'path': 'full/1608ba82656dab8b198de83f432166db47d873e4.jpg', 'checksum': '7523d71702a3c1d8be7507efe87f0a45'}]",Corsair Builder Series CX600M,http://www.informatique.nl/531261/corsair-builder-series-cx600m.html,Informatique,"€ 71,00",http://img.informatique.nl/110/531261.jpg,
"[{'url': 'http://img.informatique.nl/110/925121.jpg', 'path': 'full/25b6fb8d98985857fc0d29d5edbda87b1d3941b7.jpg', 'checksum': '8ddf70199cd7a3388eeed856b9ee41b0'}]","Be Quiet! Pure Power, 630Watt, ATX",http://www.informatique.nl/925121/be-quiet-pure-power-630watt-atx.html,Informatique,"€ 69,00,
",http://img.informatique.nl/110/925121.jpg,"ATX ,630 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/500394.jpg', 'path': 'full/641fac66c87f9a412e68e4cc4294b1da105c19cd.jpg', 'checksum': '6a07936461f3d8866088824591151b57'}]",Seasonic 400W SS-400ET 80+ Bronze,http://www.informatique.nl/500394/seasonic-400w-ss-400et-80-bronze.html,Informatique,"€ 43,00",http://img.informatique.nl/110/500394.jpg,
"[{'url': 'http://img.informatique.nl/110/518974.jpg', 'path': 'full/886ea44f6dd7be39ab4e996e7fe32f17a0be9e2d.jpg', 'checksum': '835e3996879ceb738a917402761ad912'}]",Antec Basiq Power VP-450P-EC,http://www.informatique.nl/518974/antec-basiq-power-vp-450p-ec.html,Informatique,"€ 39,00",http://img.informatique.nl/110/518974.jpg,"ATX ,450 Watt,120mm Fan"
