name,url,webshop,price,image_urls,desc
"ASUS EAH5450 SILENT/DI/1GD3(LP), grafische kaart VGA, DVI-I, HDMI, Low-Profile, Retail",/ASUS/EAH5450-SILENT-DI-1GD3(LP)-grafische-kaart/html/product/883576?tk=7&lk=9365,alternate.nl,"€ 31,",placeholder,"
          Radeon HD 5450 
        ,
          1 GB (DDR3, 64 Bit) 
        ,
          1 Slots 
        "
"ASUS R5230-SL-1GD3-L, grafische kaart VGA, DVI, HDMI, CrossFire, Retail",/ASUS/R5230-SL-1GD3-L-grafische-kaart/html/product/1144835?tk=7&lk=9365,alternate.nl,"€ 44,",placeholder,"
          Radeon R5 230 
        ,
          1 GB (DDR3, 64 Bit) 
        ,
          1 Slots 
        "
"ASUS R5230-SL-2GD3-L, grafische kaart VGA, DVI, HDMI, CrossFire, Low-Profile, Retail",/ASUS/R5230-SL-2GD3-L-grafische-kaart/html/product/1144833?tk=7&lk=9365,alternate.nl,"€ 57,",placeholder,"
          Radeon R5 230 
        ,
          2 GB (DDR3, 64 Bit) 
        ,
          1 Slots 
        "
"ASUS R7240-2GD3-L, grafische kaart VGA, DVI, HDMI, Retail",/ASUS/R7240-2GD3-L-grafische-kaart/html/product/1103812?tk=7&lk=9365,alternate.nl,"€ 64,",placeholder,"
          Radeon R7 240 
        ,
          2 GB (GDDR3, 128 Bit) 
        ,
          1 Slots 
        "
"ASUS R7240-OC-4GD3-L, grafische kaart VGA, DVI, HDMI, Low-Profile",/ASUS/R7240-OC-4GD3-L-grafische-kaart/html/product/1137385?tk=7&lk=9365,alternate.nl,"€ 81,",placeholder,"
          Radeon R7 240 
        ,
          4 GB (GDDR3, 128 Bit) 
        ,
          1 Slots 
        "
"ASUS R7240-SL-2GD3-L, grafische kaart VGA, DVI, HDMI, Low-Profile",/ASUS/R7240-SL-2GD3-L-grafische-kaart/html/product/1132496?tk=7&lk=9365,alternate.nl,"€ 66,",placeholder,"
          Radeon R7 240 
        ,
          2 GB (GDDR3, 128 Bit) 
        ,
          1 Slots 
        "
"ASUS R7250-1GD5, grafische kaart VGA, DVI, HDMI, CrossFire, Retail",/ASUS/R7250-1GD5-grafische-kaart/html/product/1104150?tk=7&lk=9365,alternate.nl,"€ 87,",placeholder,"
          Radeon R7 250 
        ,
          1 GB (GDDR5, 128 Bit) 
        ,
          2 Slots 
        "
"ASUS R7250-OC-2GD3, grafische kaart VGA, DVI, HDMI, CrossFire",/ASUS/R7250-OC-2GD3-grafische-kaart/html/product/1138040?tk=7&lk=9365,alternate.nl,"€ 88,",placeholder,"
          Radeon R7 250 
        ,
          2 GB (DDR3, 128 Bit) 
        ,
          2 Slots 
        "
"ASUS R7250X-1GD5, grafische kaart 2x DVI, HDMI, DisplayPort, CrossFireX, Retail",/ASUS/R7250X-1GD5-grafische-kaart/html/product/1126871?tk=7&lk=9365,alternate.nl,"€ 98,",placeholder,"
          Radeon R7 250X 
        ,
          1 GB (GDDR5, 128 Bit) 
        ,
          2 Slots 
        "
"ASUS R7250X-2GD5, grafische kaart 2x DVI, HDMI, DisplayPort, CrossFire",/ASUS/R7250X-2GD5-grafische-kaart/html/product/1126873?tk=7&lk=9365,alternate.nl,"€ 117,",placeholder,"
          Radeon R7 250X 
        ,
          2 GB (GDDR5, 128 Bit) 
        ,
          2 Slots 
        "
