name,url,webshop,price,image_urls,desc
"Matrox M9120 PCIe x16, grafische kaart 2x DVI-I, TV-Out, Multi-Card",/Matrox/M9120-PCIe-x16-grafische-kaart/html/product/141289?tk=7&lk=9372,alternate.nl,"€ 237,",placeholder,"
          M9120 
        ,
          512 MB (DDR2, 128 Bit) 
        ,
          1 Slots 
        "
"Matrox M9120 Plus LP PCIe x16, grafische kaart LFH60, Low-Profile, Retail",/Matrox/M9120-Plus-LP-PCIe-x16-grafische-kaart/html/product/41966?tk=7&lk=9372,alternate.nl,"€ 294,-",placeholder,"
          M9120 
        ,
          512 MB (DDR2, 128 Bit) 
        ,
          1 Slots 
        "
"Matrox M9128-E1024LAF, grafische kaart 2x DisplayPort, Low-Profile, Retail",/Matrox/M9128-E1024LAF-grafische-kaart/html/product/667824?tk=7&lk=9372,alternate.nl,"€ 234,",placeholder,"
          M9128 
        ,
          1 GB (DDR2, 128 Bit) 
        ,
          1 Slots 
        "
"Matrox M9138-E1024LAF, grafische kaart 3x Mini-DisplayPort, Low-Profile, Retail",/Matrox/M9138-E1024LAF-grafische-kaart/html/product/141292?tk=7&lk=9372,alternate.nl,"€ 354,-",placeholder,"
          M9138 
        ,
          1 GB (DDR2, 128 Bit) 
        ,
          1 Slots 
        "
"Matrox M9140-E512LAF, grafische kaart KX-20, Low-Profile, Retail",/Matrox/M9140-E512LAF-grafische-kaart/html/product/41964?tk=7&lk=9372,alternate.nl,"€ 569,-",placeholder,"
          M9140 
        ,
          512 MB (DDR2, 128 Bit) 
        ,
          1 Slots 
        "
"Matrox M9148 LP, grafische kaart 4x Mini-DisplayPort, Low-Profile, Retail",/Matrox/M9148-LP-grafische-kaart/html/product/141291?tk=7&lk=9372,alternate.nl,"€ 459,-",placeholder,"
          M9148 
        ,
          1 GB (DDR2, 128 Bit) 
        ,
          1 Slots 
        "
"Matrox Millennium G550, grafische kaart 2x DVI-I, Retail",/Matrox/Millennium-G550-grafische-kaart/html/product/37880?tk=7&lk=9372,alternate.nl,"€ 124,",placeholder,"
          MGA G550 
        ,
          32 MB (DDR, 0 Bit) 
        ,
          1 Slots 
        "
"Matrox Millennium G550, grafische kaart LFH-60, Low Profile, Retail",/Matrox/Millennium-G550-grafische-kaart/html/product/37881?tk=7&lk=9372,alternate.nl,"€ 154,",placeholder,"
          MGA G550 
        ,
          32 MB (DDR, 0 Bit) 
        ,
          1 Slots 
        "
"Matrox Millennium P690 LP, grafische kaart Low Profile, LFH-60, Retail",/Matrox/Millennium-P690-LP-grafische-kaart/html/product/39562?tk=7&lk=9372,alternate.nl,"€ 219,",placeholder,"
          Millenium P690 
        ,
          128 MB (DDR2, 0 Bit) 
        ,
          1 Slots 
        "
"Matrox Millennium P690 LP, grafische kaart Low Profile, LFH-60, Retail",/Matrox/Millennium-P690-LP-grafische-kaart/html/product/39563?tk=7&lk=9372,alternate.nl,"€ 212,",placeholder,"
          Millenium P690 
        ,
          128 MB (DDR2, 0 Bit) 
        ,
          1 Slots 
        "
"Matrox Millennium P690 Plus, grafische kaart LFH60, Low Profile, Retail",/Matrox/Millennium-P690-Plus-grafische-kaart/html/product/40708?tk=7&lk=9372,alternate.nl,"€ 359,-",placeholder,"
          Millenium P690 Plus 
        ,
          256 MB (DDR2, 64 Bit) 
        ,
          1 Slots 
        "
"Matrox Millennium P690, grafische kaart 2x DVI-I, Retail",/Matrox/Millennium-P690-grafische-kaart/html/product/39564?tk=7&lk=9372,alternate.nl,"€ 172,",placeholder,"
          Millenium P690 
        ,
          128 MB (DDR2, 0 Bit) 
        ,
          1 Slots 
        "
