name,url,webshop,price,image_urls,desc
"ASUS GT720-SL-2GD3-BRK, grafische kaart VGA, DVI, HDMI, Low Profile, Retail",/ASUS/GT720-SL-2GD3-BRK-grafische-kaart/html/product/1154599?tk=7&lk=9374,alternate.nl,"€ 64,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS EN210 SILENT/DI/1GD3/V2(LP), grafische kaart VGA, DVI-I, HDMI, Low-Profile, Retail",/ASUS/EN210-SILENT-DI-1GD3-V2(LP)-grafische-kaart/html/product/1010839?tk=7&lk=9374,alternate.nl,"€ 26,",placeholder,"
          GeForce 210 
        ,
          1 GB (GDDR3, 64 Bit) 
        ,
          2 Slots 
        "
"ASUS GT610-SL-1GD3-L, grafische kaart VGA, DVI-I, HDMI, Low-Profile, Retail",/ASUS/GT610-SL-1GD3-L-grafische-kaart/html/product/1007086?tk=7&lk=9374,alternate.nl,"€ 42,",placeholder,"
          GeForce GT 610 
        ,
          1 GB (DDR3, 64 Bit) 
        ,
          1 Slots 
        "
"ASUS GT610-SL-2GD3-L, grafische kaart VGA, DVI-I, HDMI, Low-Profile, Retail",/ASUS/GT610-SL-2GD3-L-grafische-kaart/html/product/1024700?tk=7&lk=9374,alternate.nl,"€ 51,",placeholder,"
          GeForce GT 610 
        ,
          2 GB (DDR3, 64 Bit) 
        ,
          2 Slots 
        "
"ASUS GT640-1GD3-L, grafische kaart VGA, DVI, HDMI, Low-Profile",/ASUS/GT640-1GD3-L-grafische-kaart/html/product/1084954?tk=7&lk=9374,alternate.nl,"€ 83,",placeholder,"
          GeForce GT 640 
        ,
          1 GB (GDDR5, 64 Bit) 
        ,
          2 Slots 
        "
"ASUS GT730-SL-2GD3-BRK, grafische kaart VGA, DVI, HDMI, Low Profile, Retail",/ASUS/GT730-SL-2GD3-BRK-grafische-kaart/html/product/1145636?tk=7&lk=9374,alternate.nl,"€ 54,",placeholder,"
          GeForce GT 730 
        ,
          2 GB (DDR3, 64 Bit) 
        ,
          1 Slots 
        "
"ASUS GT740-2GD3, grafische kaart VGA, DVI, HDMI",/ASUS/GT740-2GD3-grafische-kaart/html/product/1143326?tk=7&lk=9374,alternate.nl,"€ 91,",placeholder,"
          GeForce GT 740 
        ,
          2 GB (DDR3, 128 Bit) 
        ,
          1 Slots 
        "
"ASUS GT740-OC-1GD5, grafische kaart VGA, DVI-I, HDMI",/ASUS/GT740-OC-1GD5-grafische-kaart/html/product/1143320?tk=7&lk=9374,alternate.nl,"€ 102,",placeholder,"
          GeForce GT 740 
        ,
          1 GB (GDDR5, 128 Bit) 
        ,
          2 Slots 
        "
"ASUS GTX660-DC2O-2GD5, grafische kaart 2x DVI, HDMI, DisplayPort, SLI, Retail",/ASUS/GTX660-DC2O-2GD5-grafische-kaart/html/product/1030753?tk=7&lk=9374,alternate.nl,"€ 187,",placeholder,"
          GeForce GTX 660 
        ,
          2 GB (GDDR5, 192 Bit) 
        ,
          2 Slots 
        "
"ASUS GTX660-DC2OCPH-2GD5, grafische kaart 2x DVI, HDMI, DisplayPort, SLI",/ASUS/GTX660-DC2OCPH-2GD5-grafische-kaart/html/product/1084945?tk=7&lk=9374,alternate.nl,"€ 182,",placeholder,"
          GeForce GTX 660 
        ,
          2 GB (GDDR5, 192 Bit) 
        ,
          2 Slots 
        "
