name,url,webshop,price,image_urls,desc
"Hewlett-Packard 458941-B21, 500 GB harde schijf Zwart/Zilver",/Hewlett-Packard/458941-B21-500-GB-harde-schijf/html/product/895270?tk=7&lk=9566,alternate.nl,"€ 229,-",placeholder,"
          500 GB 
        ,
          8,5 ms/-/7.200 rpm 
        ,
          € 0,, 
        "
Hewlett-Packard 500 GB harde schijf 658071-TV1,/Hewlett-Packard/500-GB-harde-schijf/html/product/1078868?tk=7&lk=9566,alternate.nl,"€ 189,",placeholder,"
          500 GB 
        ,
          -/-/- 
        ,
          € 0,, 
        "
"HGST Deskstar IDK, 4 TB harde schijf SATA 600, H3IK40003272SE, AF, Retail",/HGST/Deskstar-IDK-4-TB-harde-schijf/html/product/1029490?tk=7&lk=9566,alternate.nl,"€ 189,",placeholder,"
          4 TB 
        ,
          11,8 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Deskstar NAS, 3 TB harde schijf SATA 600, Deskstar NAS",/HGST/Deskstar-NAS-3-TB-harde-schijf/html/product/1121920?tk=7&lk=9566,alternate.nl,"€ 114,",placeholder,"
          3 TB 
        ,
          -/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Deskstar NAS, 4 TB harde schijf SATA 600, H3IKNAS40003272SE",/HGST/Deskstar-NAS-4-TB-harde-schijf/html/product/1121923?tk=7&lk=9566,alternate.nl,"€ 164,",placeholder,"
          4 TB 
        ,
          -/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar 7K4000, 2 TB harde schijf SATA 600, HUS724020ALA640, 24/7",/HGST/Ultrastar-7K4000-2-TB-harde-schijf/html/product/1108971?tk=7&lk=9566,alternate.nl,"€ 142,",placeholder,"
          2 TB 
        ,
          8,2 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar 7K4000, 2 TB harde schijf SATA 600, HUS724020ALE640, 24/7, AF, Bulk",/HGST/Ultrastar-7K4000-2-TB-harde-schijf/html/product/1018424?tk=7&lk=9566,alternate.nl,"€ 144,",placeholder,"
          2 TB 
        ,
          8 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar 7K4000, 3 TB harde schijf SATA 600, HUS724030ALA640, AF, 24/7",/HGST/Ultrastar-7K4000-3-TB-harde-schijf/html/product/1093620?tk=7&lk=9566,alternate.nl,"€ 199,",placeholder,"
          3 TB 
        ,
          8,2 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar 7K4000, 3 TB harde schijf SATA 600, HUS724030ALE640, AF, 24/7, Bulk",/HGST/Ultrastar-7K4000-3-TB-harde-schijf/html/product/1013515?tk=7&lk=9566,alternate.nl,"€ 199,",placeholder,"
          3 TB 
        ,
          8 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar 7K4000, 4 TB harde schijf SATA 600, HUS724040ALA640, 24/7",/HGST/Ultrastar-7K4000-4-TB-harde-schijf/html/product/1108972?tk=7&lk=9566,alternate.nl,"€ 264,-",placeholder,"
          4 TB 
        ,
          8,2 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar 7K4000, 4 TB harde schijf SATA 600, HUS724040ALE640, AF, 24/7, Retail",/HGST/Ultrastar-7K4000-4-TB-harde-schijf/html/product/989923?tk=7&lk=9566,alternate.nl,"€ 269,-",placeholder,"
          4 TB 
        ,
          8 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar A7K2000, 1 TB harde schijf HUA722010CLA330, 24/7, Bulk",/HGST/Ultrastar-A7K2000-1-TB-harde-schijf/html/product/149310?tk=7&lk=9566,alternate.nl,"€ 76,",placeholder,"
          1 TB 
        ,
          8,5 ms/32 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar He6, 6 TB harde schijf SATA 600, HUS726060ALA640, 24/7",/HGST/Ultrastar-He6-6-TB-harde-schijf/html/product/1149429?tk=7&lk=9566,alternate.nl,"€ 454,-",placeholder,"
          6 TB 
        ,
          8,5 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"Seagate Barracuda 7200.14, 1 TB harde schijf SATA 600, ST1000DM003, AF, Bulk",/Seagate/Barracuda-7200-14-1-TB-harde-schijf/html/product/963366?tk=7&lk=9566,alternate.nl,"€ 51,",placeholder,"
          1 TB 
        ,
          8,5 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"Seagate Barracuda 7200.14, 2 TB harde schijf SATA 600, ST2000DM001, Bulk",/Seagate/Barracuda-7200-14-2-TB-harde-schijf/html/product/965390?tk=7&lk=9566,alternate.nl,"€ 76,",placeholder,"
          2 TB 
        ,
          8,5 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"Seagate Constellation CS, 1 TB Harde Schijf harde schijf SATA 600, ST1000NC000, Bulk",/Seagate/Constellation-CS-1-TB-Harde-Schijf-harde-schijf/html/product/1037980?tk=7&lk=9566,alternate.nl,"€ 81,",placeholder,"
          1 TB 
        ,
          9,5 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
