name,url,webshop,price,image_urls,desc
"Hewlett-Packard 146 GB 6 Gb/s SAS SFF Dual Port Enterprise harde schijf 512547-B21, SAS 600",/Hewlett-Packard/146-GB-6-Gb-s-SAS-SFF-Dual-Port-Enterprise-harde-schijf/html/product/922762?tk=7&lk=9553,alternate.nl,"€ 449,-",placeholder,"
          146 GB 
        ,
          -/-/15.000 rpm 
        ,
          € 3,, 
        "
Hewlett-Packard 900GB 6G SAS 10K rpm SFF (2.5-inch) harde schijf 652589-B21,/Hewlett-Packard/900GB-6G-SAS-10K-rpm-SFF-(2-5-inch)-harde-schijf/html/product/1117423?tk=7&lk=9553,alternate.nl,"€ 799,-",placeholder,"
          900 GB 
        ,
          3,8 ms/-/10.000 rpm 
        ,
          € 0,, 
        "
"Hewlett-Packard Top Value, 146 GB harde schijf 652605-TV1",/Hewlett-Packard/Top-Value-146-GB-harde-schijf/html/product/1078865?tk=7&lk=9553,alternate.nl,"€ 269,-",placeholder,"
          146 GB 
        ,
          -/-/- 
        ,
          € 1,, 
        "
"Hewlett-Packard Top Value, 300 GB harde schijf 652564-TV1",/Hewlett-Packard/Top-Value-300-GB-harde-schijf/html/product/1078866?tk=7&lk=9553,alternate.nl,"€ 229,-",placeholder,"
          300 GB 
        ,
          -/-/- 
        ,
          € 0,, 
        "
"HGST Ultrastar 15K600, 300 GB harde schijf SAS 600, HUS156030VLS600, 24/7, Bulk",/HGST/Ultrastar-15K600-300-GB-harde-schijf/html/product/408134?tk=7&lk=9553,alternate.nl,"€ 154,",placeholder,"
          300 GB 
        ,
          3,4 ms/64 MB/15.000 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar 7K4000, 2 TB harde schijf SAS 600, HUS724020ALS640, AF",/HGST/Ultrastar-7K4000-2-TB-harde-schijf/html/product/1097725?tk=7&lk=9553,alternate.nl,"€ 159,",placeholder,"
          2 TB 
        ,
          8,2 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar 7K4000, 3 TB harde schijf SAS 600, HUS724030ALS640, AF",/HGST/Ultrastar-7K4000-3-TB-harde-schijf/html/product/1097729?tk=7&lk=9553,alternate.nl,"€ 217,",placeholder,"
          3 TB 
        ,
          8,2 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar 7K4000, 4 TB harde schijf SAS 600, HUS724040ALS640, AF",/HGST/Ultrastar-7K4000-4-TB-harde-schijf/html/product/1097732?tk=7&lk=9553,alternate.nl,"€ 279,-",placeholder,"
          4 TB 
        ,
          8,2 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar C10K1200, 1,2 TB harde schijf SAS 600, HUC101212CSS600, 24/7",/HGST/Ultrastar-C10K1200-1-2-TB-harde-schijf/html/product/1073194?tk=7&lk=9553,alternate.nl,"€ 444,-",placeholder,"
          1,2 TB 
        ,
          4,6 ms/64 MB/10.000 rpm 
        ,
          € 0,, 
        "
"HGST Ultrastar C10K600, 450 GB harde schijf SAS 600, HUC106045CSS600, 24x7, Bulk",/HGST/Ultrastar-C10K600-450-GB-harde-schijf/html/product/966902?tk=7&lk=9553,alternate.nl,"€ 264,-",placeholder,"
          450 GB 
        ,
          3,7 ms/64 MB/10.000 rpm 
        ,
          € 0,, 
        "
