name,url,webshop,price,image_urls,desc
"Aerocool Air Force 14cm Orange Edition, koeler Oranje",/Aerocool/Air-Force-14cm-Orange-Edition-koeler/html/product/1103620?tk=7&lk=9346,alternate.nl,"€ 19,",placeholder,"
           
        ,
          25,5 dB 
        ,
          105,8 m³/h (62,26 cfm) 
        "
"Aerocool Dead Silence 12cm Black, koeler Zwart, 3-Pin-aansluiting",/Aerocool/Dead-Silence-12cm-Black-koeler/html/product/1111209?tk=7&lk=9346,alternate.nl,"€ 14,",placeholder,"
           
        ,
          12,1 - 15,8 dB 
        ,
          62,4 - 93,1 m³/h (36,7 - 54,8 cfm) 
        "
"Aerocool Dead Silence 12cm Blue, koeler Zwart/Blauw, 3-Pin-aansluiting",/Aerocool/Dead-Silence-12cm-Blue-koeler/html/product/1111211?tk=7&lk=9346,alternate.nl,"€ 17,",placeholder,"
           
        ,
          12,1 - 15,8 dB 
        ,
          62,4 - 93,1 m³/h (36,7 - 54,8 cfm) 
        "
"Aerocool Dead Silence 12cm Red, koeler Zwart/Rood, 3-Pin-aansluiting",/Aerocool/Dead-Silence-12cm-Red-koeler/html/product/1111212?tk=7&lk=9346,alternate.nl,"€ 18,",placeholder,"
           
        ,
          12,1 - 15,8 dB 
        ,
          62,4 - 93,1 m³/h (36,7 - 54,8 cfm) 
        "
"Aerocool Dead Silence 12cm White, koeler Wit/Zwart, 3-Pin-aansluiting",/Aerocool/Dead-Silence-12cm-White-koeler/html/product/1111213?tk=7&lk=9346,alternate.nl,"€ 17,",placeholder,"
           
        ,
          12,1 - 15,8 dB 
        ,
          62,4 - 93,1 m³/h (36,7 - 54,8 cfm) 
        "
"Aerocool Dead Silence 14cm Black, koeler Zwart, 3-Pin-aansluiting",/Aerocool/Dead-Silence-14cm-Black-koeler/html/product/1111217?tk=7&lk=9346,alternate.nl,"€ 17,",placeholder,"
           
        ,
          10,8 - 14,2 dB 
        ,
          67,6 - 110,1 m³/h (39,8 - 64,8 cfm) 
        "
"Aerocool Dead Silence 14cm Blue, koeler Zwart/Blauw, 3-Pin-aansluiting",/Aerocool/Dead-Silence-14cm-Blue-koeler/html/product/1111215?tk=7&lk=9346,alternate.nl,"€ 19,",placeholder,"
           
        ,
          10,8 - 14,2 dB 
        ,
          67,6 - 110,1 m³/h (39,8 - 64,8 cfm) 
        "
"Aerocool Dead Silence 14cm Red, koeler Zwart/Rood, 3-Pin-aansluiting",/Aerocool/Dead-Silence-14cm-Red-koeler/html/product/1111218?tk=7&lk=9346,alternate.nl,"€ 19,",placeholder,"
           
        ,
          10,8 - 14,2 dB 
        ,
          67,6 - 110,1 m³/h (39,8 - 64,8 cfm) 
        "
"Aerocool Dead Silence 14cm White, koeler Wit/Zwart, 3-Pin-aansluiting",/Aerocool/Dead-Silence-14cm-White-koeler/html/product/1111216?tk=7&lk=9346,alternate.nl,"€ 19,",placeholder,"
           
        ,
          10,8 - 14,2 dB 
        ,
          67,6 - 110,1 m³/h (39,8 - 64,8 cfm) 
        "
"Aerocool Shark Fan 12cm Black Edition, koeler Zwart, 3-Pin-aansluiting, Retail",/Aerocool/Shark-Fan-12cm-Black-Edition-koeler/html/product/255004?tk=7&lk=9346,alternate.nl,"€ 10,",placeholder,"
           
        ,
          12,6 - 26,5 dB 
        ,
          55,2 - 140,3 m³/h (32,5 - 82,6 cfm) 
        "
"Aerocool Shark Fan 12cm Blue Edition, koeler Zwart/Blauw, 3-Pin-aansluiting, Retail",/Aerocool/Shark-Fan-12cm-Blue-Edition-koeler/html/product/255006?tk=7&lk=9346,alternate.nl,"€ 11,",placeholder,"
           
        ,
          12,6 - 26,5 dB 
        ,
          55,2 - 140,3 m³/h (32,5 - 82,6 cfm) 
        "
"Aerocool Shark Fan 12cm Devil Red Edition, koeler Zwart/Rood, 3-Pin-aansluiting, Retail",/Aerocool/Shark-Fan-12cm-Devil-Red-Edition-koeler/html/product/255008?tk=7&lk=9346,alternate.nl,"€ 11,",placeholder,"
           
        ,
          12,6 - 26,5 dB 
        ,
          55,2 - 140,3 m³/h (32,5 - 82,6 cfm) 
        "
"Aerocool Shark Fan 12cm Evil Black Edition, koeler Zwart/Oranje, 3-Pin-aansluiting, Retail",/Aerocool/Shark-Fan-12cm-Evil-Black-Edition-koeler/html/product/255010?tk=7&lk=9346,alternate.nl,"€ 11,",placeholder,"
           
        ,
          12,6 - 26,5 dB 
        ,
          55,2 - 140,3 m³/h (32,5 - 82,6 cfm) 
        "
"Aerocool Shark Fan 12cm White Edition, koeler Transparant/Wit, 3-Pin-aansluiting, Retail",/Aerocool/Shark-Fan-12cm-White-Edition-koeler/html/product/904984?tk=7&lk=9346,alternate.nl,"€ 11,",placeholder,"
           
        ,
          12,6 - 26,5 dB 
        ,
          55,2 - 140,3 m³/h (32,5 - 82,6 cfm) 
        "
"Aerocool Shark Fan 14cm Black Edition, koeler Zwart, 3-Pin-aansluiting, Retail",/Aerocool/Shark-Fan-14cm-Black-Edition-koeler/html/product/255012?tk=7&lk=9346,alternate.nl,"€ 11,",placeholder,"
           
        ,
          14,5 - 29,6 dB 
        ,
          85 - 164 m³/h (50 - 96,5 cfm) 
        "
"Aerocool Shark Fan 14cm Blue Edition, koeler Zwart/Blauw, 3-Pin-aansluiting, Retail",/Aerocool/Shark-Fan-14cm-Blue-Edition-koeler/html/product/255014?tk=7&lk=9346,alternate.nl,"€ 12,",placeholder,"
           
        ,
          14,5 - 29,6 dB 
        ,
          85 - 164 m³/h (50 - 96,5 cfm) 
        "
"Aerocool Shark Fan 14cm Devil Red Edition, koeler Zwart/Rood, 3-Pin-aansluiting",/Aerocool/Shark-Fan-14cm-Devil-Red-Edition-koeler/html/product/255016?tk=7&lk=9346,alternate.nl,"€ 12,",placeholder,"
           
        ,
          14,5 - 29,6 dB 
        ,
          85 - 164 m³/h (50 - 96,5 cfm) 
        "
"Aerocool Shark Fan 14cm Evil Black Edition, koeler Zwart/Oranje, 3-Pin-aansluiting",/Aerocool/Shark-Fan-14cm-Evil-Black-Edition-koeler/html/product/255018?tk=7&lk=9346,alternate.nl,"€ 12,",placeholder,"
           
        ,
          14,5 - 29,6 dB 
        ,
          85 - 164 m³/h (50 - 96,5 cfm) 
        "
"Aerocool Shark Fan White Edition 14 cm, koeler Transparant/Wit, Retail",/Aerocool/Shark-Fan-White-Edition-14-cm-koeler/html/product/904990?tk=7&lk=9346,alternate.nl,"€ 12,",placeholder,"
           
        ,
          14,5 - 29,6 dB 
        ,
          85 - 164 m³/h (50 - 96,5 cfm) 
        "
"Aerocool Silent Master 200 mm Blue LED, koeler Blauw, Retail",/Aerocool/Silent-Master-200-mm-Blue-LED-koeler/html/product/904994?tk=7&lk=9346,alternate.nl,"€ 16,",placeholder,"
           
        ,
          18 dB 
        ,
          129,1 m³/h (76 cfm) 
        "
"Aerocool Silent Master 200 mm White LED, koeler Wit, Retail",/Aerocool/Silent-Master-200-mm-White-LED-koeler/html/product/904988?tk=7&lk=9346,alternate.nl,"€ 16,",placeholder,"
           
        ,
          18 dB 
        ,
          129,1 m³/h (76 cfm) 
        "
"Aerocool Silent Master 200mm Red LED, koeler Rood, Retail",/Aerocool/Silent-Master-200mm-Red-LED-koeler/html/product/904986?tk=7&lk=9346,alternate.nl,"€ 14,",placeholder,"
           
        ,
          18 dB 
        ,
          129,1 m³/h (76 cfm) 
        "
"Alpenföhn Föhn 120 Purple LED, koeler Antraciet",/Alpenföhn/Föhn-120-Purple-LED-koeler/html/product/132364?tk=7&lk=9346,alternate.nl,"€ 12,",placeholder,"
           
        ,
          21 dB 
        ,
          101,89 m³/h (60 cfm) 
        "
