name,url,webshop,price,image_urls,desc
"ALTERNATE Upgrade Kit ASRock 970 Extreme3 / FX-8350 / 8 GB Moederbord, CPU, Geheugen, Kit",/ALTERNATE/Upgrade-Kit-ASRock-970-Extreme3-FX-8350-8-GB/html/product/1075231?tk=7&lk=9419,alternate.nl,"€ 299,-",placeholder,"
          ATX 
        ,
          2x PCIe x16, CrossFireX 
        ,
          AM3+ 
        "
"ALTERNATE Upgrade Kit Gigabyte GA-F2A88XM-HD3/A10-7850K/8GB Moederbord, CPU, Geheugen",/ALTERNATE/Upgrade-Kit-Gigabyte-GA-F2A88XM-HD3-A10-7850K-8GB/html/product/1125042?tk=7&lk=9419,alternate.nl,"€ 279,-",placeholder,"
          µATX 
        ,
          onboard, 2x PCIe x16, CrossFireX 
        ,
          FM2+ 
        "
"ASRock C70M1, moederbord CPU, Gb-LAN, VGA, Sound, Mini-ITX",/ASRock/C70M1-moederbord/html/product/1150524?tk=7&lk=9419,alternate.nl,"€ 43,",placeholder,"
          Mini ITX 
        ,
          onboard, 1x PCIe x16 
        ,
          integrated 
        "
"ASRock E350M1, moederbord CPU, Gb-LAN, VGA, Sound, Mini-ITX",/ASRock/E350M1-moederbord/html/product/825044?tk=7&lk=9419,alternate.nl,"€ 62,",placeholder,"
          Mini ITX 
        ,
          onboard, 1x PCIe x16 
        ,
          integrated 
        "
"ASRock E35LM1, moederbord CPU, Gb-LAN, VGA, Sound, Mini-ITX, Retail",/ASRock/E35LM1-moederbord/html/product/1017066?tk=7&lk=9419,alternate.nl,"€ 47,",placeholder,"
          Mini ITX 
        ,
          onboard, 1x PCIe x16 
        ,
          integrated 
        "
"ASRock K7S41GX2, socket A moederbord LAN, VGA, Sound, µATX, Retail",/ASRock/K7S41GX2-socket-A-moederbord/html/product/999991?tk=7&lk=9419,alternate.nl,"€ 44,",placeholder,"
          µATX 
        ,
          onboard 
        ,
          A 
        "
"ASRock AM1B-ITX, socket AM1 moederbord Gb-LAN, Sound, Mini ITX",/ASRock/AM1B-ITX-socket-AM1-moederbord/html/product/1132180?tk=7&lk=9419,alternate.nl,"€ 29,",placeholder,"
          Mini ITX 
        ,
          onboard, 1x PCIe x16 
        ,
          AM1 
        "
"ASRock AM1B-M, socket AM1 moederbord Gb-LAN, Sound, µATX",/ASRock/AM1B-M-socket-AM1-moederbord/html/product/1132179?tk=7&lk=9419,alternate.nl,"€ 29,",placeholder,"
          µATX 
        ,
          onboard, 1x PCIe x16 
        ,
          AM1 
        "
"ASRock AM1B-MDH, socket AM1 moederbord Gb-LAN, Sound, µATX",/ASRock/AM1B-MDH-socket-AM1-moederbord/html/product/1137543?tk=7&lk=9419,alternate.nl,"€ 29,",placeholder,"
          µATX 
        ,
          onboard, 1x PCIe x16 
        ,
          AM1 
        "
"ASRock AM1H-ITX, socket AM1 moederbord Gb-LAN, Sound, Mini ITX",/ASRock/AM1H-ITX-socket-AM1-moederbord/html/product/1132181?tk=7&lk=9419,alternate.nl,"€ 54,",placeholder,"
          Mini ITX 
        ,
          onboard, 1x PCIe x16 
        ,
          AM1 
        "
