name,url,webshop,price,image_urls,desc
"Apple USB SuperDrive, Externe DVD-brander Retail",/Apple/USB-SuperDrive-Externe-DVD-brander/html/product/1014351?tk=7&lk=9384,alternate.nl,"€ 86,",placeholder,"
          DVD (8 x), CD (24 x) 
        ,
          DVD+R (8 x), DVD-R (8 x), CD-R (24 x) 
        ,
          USB (festes Kabel) 
        "
"ASUS DRW-24F1ST, DVD-brander Zwart",/ASUS/DRW-24F1ST-DVD-brander/html/product/1085304?tk=7&lk=9384,alternate.nl,"€ 24,",placeholder,"
          DVD (16 x), CD (48 x) 
        ,
          DVD+R (24 x), DVD-R (24 x), CD-R (48 x) 
        ,
          1x SATA/150 
        "
"ASUS DRW-24F1ST, DVD-brander Zwart",/ASUS/DRW-24F1ST-DVD-brander/html/product/1105488?tk=7&lk=9384,alternate.nl,"€ 29,",placeholder,"
          DVD (16 x), CD (48 x) 
        ,
          DVD+R (24 x), DVD-R (24 x), CD-R (48 x) 
        ,
          1x SATA/150 
        "
"ASUS SDRW-08D2S-U Lite, Externe DVD-brander Wit (Hoogglans)",/ASUS/SDRW-08D2S-U-Lite-Externe-DVD-brander/html/product/1061476?tk=7&lk=9384,alternate.nl,"€ 34,",placeholder,"
          DVD (8 x), CD (24 x) 
        ,
          DVD+R (8 x), DVD-R (8 x), CD-R (24 x) 
        ,
          1x Mini-USB 2.0 
        "
"ASUS SDRW-08D2S-U Lite, Externe DVD-brander Zwart (Hoogglans)",/ASUS/SDRW-08D2S-U-Lite-Externe-DVD-brander/html/product/1061475?tk=7&lk=9384,alternate.nl,"€ 34,",placeholder,"
          DVD (8 x), CD (24 x) 
        ,
          DVD+R (8 x), DVD-R (8 x), CD-R (24 x) 
        ,
          1x Mini-USB 2.0 
        "
"ASUS SDRW-08D3S-U, Externe DVD-brander Zwart (Hoogglans), Retail",/ASUS/SDRW-08D3S-U-Externe-DVD-brander/html/product/1038606?tk=7&lk=9384,alternate.nl,"€ 39,",placeholder,"
          DVD (8 x), CD (24 x) 
        ,
          DVD+R (8 x), DVD-R (8 x), CD-R (24 x) 
        ,
          1x Mini-USB 2.0 
        "
"LG GH-24NS, DVD-brander Zwart, 12-x DVD-RAM, Retail",/LG/GH-24NS-DVD-brander/html/product/1006941?tk=7&lk=9384,alternate.nl,"€ 19,",placeholder,"
          DVD (16 x), CD (48 x) 
        ,
          DVD+R (24 x), DVD-R (24 x), CD-R (48 x) 
        ,
          1x SATA/150 
        "
"LG GH24NS, DVD-brander Zwart, Bulk",/LG/GH24NS-DVD-brander/html/product/864988?tk=7&lk=9384,alternate.nl,"€ 15,",placeholder,"
          DVD (16 x), CD (48 x) 
        ,
          DVD+R (24 x), DVD-R (24 x), CD-R (48 x) 
        ,
          1x SATA/150 
        "
"LG GP50NB40, Externe DVD-brander Zwart",/LG/GP50NB40-Externe-DVD-brander/html/product/1045553?tk=7&lk=9384,alternate.nl,"€ 27,",placeholder,"
          DVD (8 x), CD (24 x) 
        ,
          DVD+R (8 x), DVD-R (8 x), CD-R (24 x) 
        ,
          1x Mini-USB 2.0 
        "
"LG GP50NW40, Externe DVD-brander Wit",/LG/GP50NW40-Externe-DVD-brander/html/product/1045554?tk=7&lk=9384,alternate.nl,"€ 27,",placeholder,"
          DVD (8 x), CD (24 x) 
        ,
          DVD+R (8 x), DVD-R (8 x), CD-R (24 x) 
        ,
          1x Mini-USB 2.0 
        "
