name,url,webshop,price,image_urls,desc
"elgato EyeTV Diversity, TV-Kaart Zilver, Retail",/elgato/EyeTV-Diversity-TV-Kaart/html/product/144095?tk=7&lk=9523,alternate.nl,"€ 96,",placeholder,"
          2x DVB-T, DVB-T 
        ,
          2x Antenne aansluiting 
        ,
           
        "
"elgato EyeTV Go, TV-Kaart Zwart, USB",/elgato/EyeTV-Go-TV-Kaart/html/product/1125116?tk=7&lk=9523,alternate.nl,"€ 67,",placeholder,"
          DVB-T 
        ,
           
        ,
          false 
        "
"elgato EyeTV Hybrid, TV-Kaart Zilver, Retail",/elgato/EyeTV-Hybrid-TV-Kaart/html/product/147434?tk=7&lk=9523,alternate.nl,"€ 119,",placeholder,"
          DVB-C, DVB-T 
        ,
          1x Antenne aansluiting, 1x S-video, 1x Composiet video, 1x Stereo-audio 
        ,
          false 
        "
"elgato EyeTV Micro, TV-Kaart Zwart",/elgato/EyeTV-Micro-TV-Kaart/html/product/1046786?tk=7&lk=9523,alternate.nl,"€ 69,",placeholder,"
          DVB-T 
        ,
          1x RF antenne aansluiting (MCX) 
        ,
           
        "
"elgato EyeTV Mobile Lightning, TV-Kaart Zwart",/elgato/EyeTV-Mobile-Lightning-TV-Kaart/html/product/1117450?tk=7&lk=9523,alternate.nl,"€ 92,",placeholder,"
          DVB-T 
        ,
          1x RF antenne aansluiting (MCX) 
        ,
           
        "
"elgato EyeTV Mobile, TV-Kaart Zwart",/elgato/EyeTV-Mobile-TV-Kaart/html/product/1038807?tk=7&lk=9523,alternate.nl,"€ 81,",placeholder,"
          DVB-T 
        ,
          1x RF antenne aansluiting (MCX) 
        ,
           
        "
"elgato EyeTV W, TV-Kaart Zwart (Hoogglans)",/elgato/EyeTV-W-TV-Kaart/html/product/1117447?tk=7&lk=9523,alternate.nl,"€ 74,",placeholder,"
          DVB-T 
        ,
          1x RF antenne aansluiting (MCX), truex Scart 
        ,
           
        "
"Hauppauge myTV-600T, TV-Kaart Zwart, USB",/Hauppauge/myTV-600T-TV-Kaart/html/product/1091433?tk=7&lk=9523,alternate.nl,"€ 49,",placeholder,"
          DVB-T 
        ,
           
        ,
          false 
        "
"Hauppauge WinTV Aero, TV-Kaart Zwart (Hoogglans), Retail",/Hauppauge/WinTV-Aero-TV-Kaart/html/product/142220?tk=7&lk=9523,alternate.nl,"€ 49,",placeholder,"
          DVB-T 
        ,
          1x RF antenne aansluiting (MCX) 
        ,
          false 
        "
"Hauppauge WinTV HVR-1900 USB, TV-Kaart Retail",/Hauppauge/WinTV-HVR-1900-USB-TV-Kaart/html/product/44038?tk=7&lk=9523,alternate.nl,"€ 94,",placeholder,"
          DVB-T 
        ,
          1x Antenne aansluiting, 1x S-video, 1x Composiet video, 1x Stereo-audio 
        ,
          false 
        "
"Hauppauge WinTV HVR-5500, TV-Kaart ",/Hauppauge/WinTV-HVR-5500-TV-Kaart/html/product/834592?tk=7&lk=9523,alternate.nl,"€ 129,",placeholder,"
          DVB-C, DVB-S2, DVB-T, DVB-S 
        ,
          1x Antenne aansluiting, 1x F-aansluiting, 1x S-video 
        ,
          false 
        "
"Hauppauge WinTV HVR-930C-HD, TV-Kaart Zwart, Retail",/Hauppauge/WinTV-HVR-930C-HD-TV-Kaart/html/product/44044?tk=7&lk=9523,alternate.nl,"€ 69,",placeholder,"
          DVB-C, DVB-T 
        ,
          1x Antenne aansluiting, 1x S-video, 1x Composiet video, 1x Stereo-audio 
        ,
          false 
        "
"Hauppauge WinTV Nova-TD Stick, TV-Kaart Zwart, Retail",/Hauppauge/WinTV-Nova-TD-Stick-TV-Kaart/html/product/44025?tk=7&lk=9523,alternate.nl,"€ 64,",placeholder,"
          DVB-T, DVB-T Radio 
        ,
          2x Antenne aansluiting 
        ,
           
        "
"Hauppauge WinTV-HVR-3300, TV-Kaart Met Afstandsbediening",/Hauppauge/WinTV-HVR-3300-TV-Kaart/html/product/249915?tk=7&lk=9523,alternate.nl,"€ 91,",placeholder,"
          DVB-T, DVB-S 
        ,
          1x Antenne aansluiting, 1x F-aansluiting, 1x S-video 
        ,
          false 
        "
"PCTV Systems Dual DVB-T Pro 2000i DGB PCI, TV-Kaart ",/PCTV-Systems/Dual-DVB-T-Pro-2000i-DGB-PCI-TV-Kaart/html/product/153770?tk=7&lk=9523,alternate.nl,"€ 48,",placeholder,"
          2x DVB-T, DVB-T 
        ,
          1x Antenne aansluiting 
        ,
          false 
        "
"PCTV Systems TeleScope 73a, TV-Kaart Retail",/PCTV-Systems/TeleScope-73a-TV-Kaart/html/product/252848?tk=7&lk=9523,alternate.nl,"€ 66,",placeholder,"
          DVB-T 
        ,
          1x RF antenne aansluiting (MCX) 
        ,
          false 
        "
"Terratec Cinergy T PCIe Dual HD, TV-Kaart ",/Terratec/Cinergy-T-PCIe-Dual-HD-TV-Kaart/html/product/1039555?tk=7&lk=9523,alternate.nl,"€ 79,",placeholder,"
          DVB-C, DVB-T 
        ,
          1x Antenne aansluiting 
        ,
          false 
        "
