name,url,webshop,price,image_urls,desc
"elgato Eye TV Netstream 4Sat, TV-Kaart Zilver",/elgato/Eye-TV-Netstream-4Sat-TV-Kaart/html/product/1120174?tk=7&lk=9522,alternate.nl,"€ 314,-",placeholder,"
          DVB-S2 
        ,
          1x RJ-45 
        ,
           
        "
"elgato EyeTV SAT Free, TV-Kaart Zilver, Retail",/elgato/EyeTV-SAT-Free-TV-Kaart/html/product/852560?tk=7&lk=9522,alternate.nl,"€ 91,",placeholder,"
          DVB-S2 
        ,
          1x F-aansluiting 
        ,
          false 
        "
"elgato EyeTV SAT, TV-Kaart Zilver, Retail",/elgato/EyeTV-SAT-TV-Kaart/html/product/153166?tk=7&lk=9522,alternate.nl,"€ 189,",placeholder,"
          DVB-S2, DVB-S 
        ,
          1x F-aansluiting, 1x CI-Slot 
        ,
          false 
        "
"Hauppauge Starburst HD                 PCIe, TV-Kaart ",/Hauppauge/Starburst-HD-PCIe-TV-Kaart/html/product/1091422?tk=7&lk=9522,alternate.nl,"€ 74,",placeholder,"
          DVB-S2 
        ,
           
        ,
          false 
        "
"Hauppauge WinTV HVR-5500, TV-Kaart ",/Hauppauge/WinTV-HVR-5500-TV-Kaart/html/product/834592?tk=7&lk=9522,alternate.nl,"€ 129,",placeholder,"
          DVB-C, DVB-S2, DVB-T, DVB-S 
        ,
          1x Antenne aansluiting, 1x F-aansluiting, 1x S-video 
        ,
          false 
        "
"Hauppauge WinTV-HVR-3300, TV-Kaart Met Afstandsbediening",/Hauppauge/WinTV-HVR-3300-TV-Kaart/html/product/249915?tk=7&lk=9522,alternate.nl,"€ 91,",placeholder,"
          DVB-T, DVB-S 
        ,
          1x Antenne aansluiting, 1x F-aansluiting, 1x S-video 
        ,
          false 
        "
"KNC ONE TVStation DVB-S Plus, TV-Kaart Retail",/KNC-ONE/TVStation-DVB-S-Plus-TV-Kaart/html/product/43778?tk=7&lk=9522,alternate.nl,"€ 91,",placeholder,"
          DVB-S 
        ,
           
        ,
          false 
        "
"PCTV Systems Dual SAT Pro 4000i DGBTR PCI, TV-Kaart ",/PCTV-Systems/Dual-SAT-Pro-4000i-DGBTR-PCI-TV-Kaart/html/product/153769?tk=7&lk=9522,alternate.nl,"€ 51,",placeholder,"
          2x DVB-S, DVB-S 
        ,
          2x F-aansluiting 
        ,
          false 
        "
"TechniSat SkyStar 2 eXpress HD, TV-Kaart DVB-S/ DVB-S2, Retail",/TechniSat/SkyStar-2-eXpress-HD-TV-Kaart/html/product/814062?tk=7&lk=9522,alternate.nl,"€ 54,",placeholder,"
          DVB-S2, DVB-S 
        ,
          1x F-aansluiting 
        ,
          false 
        "
"TechniSat SkyStar S2 HD, TV-Kaart Zwart, Retail",/TechniSat/SkyStar-S2-HD-TV-Kaart/html/product/252146?tk=7&lk=9522,alternate.nl,"€ 30,",placeholder,"
          DVB-S2 
        ,
          1x F-aansluiting 
        ,
          false 
        "
"TechniSat SkyStar2 TV, TV-Kaart ",/TechniSat/SkyStar2-TV-TV-Kaart/html/product/1055164?tk=7&lk=9522,alternate.nl,"€ 34,",placeholder,"
          DVB-S 
        ,
          1x F-aansluiting 
        ,
          false 
        "
"Terratec S7 DVB-S2 int. CI-Modul, TV-Kaart Zwart, Retail",/Terratec/S7-DVB-S2-int-CI-Modul-TV-Kaart/html/product/142829?tk=7&lk=9522,alternate.nl,"€ 184,",placeholder,"
          DVB-S2 
        ,
          1x F-aansluiting, 1x CI-Slot 
        ,
          false 
        "
