images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/529929.jpg', 'path': 'full/12d6a0ff60818a450613167fdc6deba9ae44fdc5.jpg', 'checksum': '90ab5e5893fa45aef4c33cfbc22f18f3'}]","AMD FX-8350, 4.00GHz, 8MB, AM3+",http://www.informatique.nl/529929/amd-fx-8350-4-00ghz-8mb-am3.html,Informatique,"€ 161,00",http://img.informatique.nl/110/529929.jpg,"FX-Serie ,AM3+ ,AMD Turbo CORE,125 Watt,Inclusief koeler"
"[{'url': 'http://img.informatique.nl/110/543474.jpg', 'path': 'full/379b258903ee9cba2b3d4d99930135994d6ea438.jpg', 'checksum': '8ea786b1a0397050dc42fb090b68f1ad'}]",AMD Athlon X4 860K Black Edition,http://www.informatique.nl/543474/amd-athlon-x4-860k-black-edition.html,Informatique,"€ 81,00",http://img.informatique.nl/110/543474.jpg,
"[{'url': 'http://img.informatique.nl/110/541345.jpg', 'path': 'full/518e357d890be2a6d7bfbd62f0b4d7b9b8833d24.jpg', 'checksum': '178808b82e7a1a077237e83a1ca2ec07'}]",Intel Core i7-4790K,http://www.informatique.nl/541345/intel-core-i7-4790k.html,Informatique,"€ 325,00",http://img.informatique.nl/110/541345.jpg,
"[{'url': 'http://img.informatique.nl/110/539941.jpg', 'path': 'full/46324e68cdad25433f07adf28fa95219f4c219d4.jpg', 'checksum': '045bd6c9297f12bad4b3b810d9939553'}]","Intel Core i5-4460, 3.2Ghz, 6MB, S1150",http://www.informatique.nl/539941/intel-core-i5-4460-3-2ghz-6mb-s1150.html,Informatique,"€ 172,00",http://img.informatique.nl/110/539941.jpg,"Core i5 , 4e generatie refresh , S1150 , 3.2Ghz / 3.4Ghz , 4 Cores , HD Graphics 4600"
"[{'url': 'http://img.informatique.nl/110/539938.jpg', 'path': 'full/c09c3845435c6305a5d3d86a7b15363434f2cafb.jpg', 'checksum': 'a83b2b565b13521ef1c4a46df8573cde'}]","Intel Core i3-4150, 3.5Ghz, 3MB, S1150",http://www.informatique.nl/539938/intel-core-i3-4150-3-5ghz-3mb-s1150.html,Informatique,"€ 109,00",http://img.informatique.nl/110/539938.jpg,"Core i3 , 4e generatie refresh , S1150 , 3.5Ghz , 2 Cores , HD Graphics 4400"
"[{'url': 'http://img.informatique.nl/110/539943.jpg', 'path': 'full/1e7e4b7212c83063be691667d2e30244142e80eb.jpg', 'checksum': '045bd6c9297f12bad4b3b810d9939553'}]","Intel Core i5-4690, 3.5Ghz, 6MB, S1150",http://www.informatique.nl/539943/intel-core-i5-4690-3-5ghz-6mb-s1150.html,Informatique,"€ 209,00",http://img.informatique.nl/110/539943.jpg,"Core i5 , 4e generatie refresh , S1150 , 3.5Ghz / 3.9Ghz , 4 Cores , HD Graphics 4600"
"[{'url': 'http://img.informatique.nl/110/539944.jpg', 'path': 'full/53302ae61531647ce4b42de7f2e28ce30b185f7a.jpg', 'checksum': '178808b82e7a1a077237e83a1ca2ec07'}]","Intel Core i7-4790, 3.6Ghz, 8MB, S1150",http://www.informatique.nl/539944/intel-core-i7-4790-3-6ghz-8mb-s1150.html,Informatique,"€ 289,00",http://img.informatique.nl/110/539944.jpg,"Core i7 , 4e generatie refresh , S1150 , 3.6Ghz / 4Ghz , 4 Cores , HD Graphics 4600"
"[{'url': 'http://img.informatique.nl/110/543188.jpg', 'path': 'full/9ba567b748c455ec029012599bba707d4f0db101.jpg', 'checksum': '17106282ad0a0e4f269c59643a5d83b6'}]",Intel Core i7-5960X,http://www.informatique.nl/543188/intel-core-i7-5960x.html,Informatique,"€ 979,00",http://img.informatique.nl/110/543188.jpg,
"[{'url': 'http://img.informatique.nl/110/541344.jpg', 'path': 'full/204ac43799519e4f01df0b6d1d765c8f223fc66d.jpg', 'checksum': '045bd6c9297f12bad4b3b810d9939553'}]",Intel Core i5-4690K,http://www.informatique.nl/541344/intel-core-i5-4690k.html,Informatique,"€ 228,00",http://img.informatique.nl/110/541344.jpg,
"[{'url': 'http://img.informatique.nl/110/468825.jpg', 'path': 'full/122797ec612f0dba62cce5416ce752e9002a5db6.jpg', 'checksum': '0c297d0e5b43a08a05965dcf64a0e7ee'}]","Intel Pentium G3420, 3.20GHz, 3MB, S1150",http://www.informatique.nl/468825/intel-pentium-g3420-3-20ghz-3mb-s1150.html,Informatique,"€ 59,00",http://img.informatique.nl/110/468825.jpg,
