images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/543253.jpg', 'path': 'full/694cd49478d4db2ce410da67acfa74147b41ae66.jpg', 'checksum': '5d26394ce37d8b19b4f1efbe02d432fd'}]",Crucial CT4K4G4DFS8213,http://www.informatique.nl/543253/crucial-ct4k4g4dfs8213.html,Informatique,"€ 213,00",http://img.informatique.nl/110/543253.jpg,"16 (4 modules),Cas Latency: 15,Kloksnelheid: 2133 MHz,Voltage:  1.2,Heatsink kleur:"
"[{'url': 'http://img.informatique.nl/110/543250.jpg', 'path': 'full/6c0eabfa0d0d0e070bdddd5e16cac786636d313a.jpg', 'checksum': '71d450b7ae33836a1059f7ca930c183d'}]",Crucial CT2K4G4DFS8213,http://www.informatique.nl/543250/crucial-ct2k4g4dfs8213.html,Informatique,"€ 100,00",http://img.informatique.nl/110/543250.jpg,"8 (2 modules),Cas Latency: 15,Kloksnelheid: 2133 MHz,Voltage:  1.2,Heatsink kleur:"
"[{'url': 'http://img.informatique.nl/110/543398.jpg', 'path': 'full/7da607fbdffb34f76295ce2529623de4343b0cbf.jpg', 'checksum': 'c0d2fee648b265c26203a1e280f916b7'}]",Crucial CT4G4DFS8213,http://www.informatique.nl/543398/crucial-ct4g4dfs8213.html,Informatique,"€ 51,00",http://img.informatique.nl/110/543398.jpg,"4 (1 modules),Cas Latency: 15,Kloksnelheid: 2133 MHz,Voltage:  1.2,Heatsink kleur:"
"[{'url': 'http://img.informatique.nl/110/543025.jpg', 'path': 'full/3827031e1ccb266942528167765f2a5862c98591.jpg', 'checksum': '13a2b2938678c4615041281649ffb605'}]",Corsair Dominator 16GB DDR4 2666MHz,http://www.informatique.nl/543025/corsair-dominator-16gb-ddr4-2666mhz.html,Informatique,"€ 437,00",http://img.informatique.nl/110/543025.jpg,"16 (4 modules),Cas Latency: 15,Kloksnelheid: 2666 MHz,Voltage:  1.2,Heatsink kleur: Zwart"
"[{'url': 'http://img.informatique.nl/110/543251.jpg', 'path': 'full/85a92359ff7e4832286dad659603c94ef900bf1e.jpg', 'checksum': '71d450b7ae33836a1059f7ca930c183d'}]",Crucial CT2K8G4DFD8213,http://www.informatique.nl/543251/crucial-ct2k8g4dfd8213.html,Informatique,"€ 199,00",http://img.informatique.nl/110/543251.jpg,"16 (2 modules),Cas Latency: 15,Kloksnelheid: 2133 MHz,Voltage:  1.2,Heatsink kleur:"
"[{'url': 'http://img.informatique.nl/110/543254.jpg', 'path': 'full/7c9aa843caffec34907cb2a715c342418e2563e3.jpg', 'checksum': '5d26394ce37d8b19b4f1efbe02d432fd'}]",Crucial CT4K8G4DFD8213,http://www.informatique.nl/543254/crucial-ct4k8g4dfd8213.html,Informatique,"€ 429,00",http://img.informatique.nl/110/543254.jpg,"32 (4 modules),Cas Latency: 15,Kloksnelheid: 2133 MHz,Voltage:  1.2,Heatsink kleur:"
"[{'url': 'http://img.informatique.nl/110/543277.jpg', 'path': 'full/d0a953129661a88b10636b2b34f071e74b1df684.jpg', 'checksum': '1a4bc227beb23f7f45a3c281d640c8f5'}]",G.Skill Ripjaws 4 16GB DDR4 2666MHz CL15,http://www.informatique.nl/543277/g-skill-ripjaws-4-16gb-ddr4-2666mhz-cl15.html,Informatique,"€ 316,00",http://img.informatique.nl/110/543277.jpg,"16 (4 modules),Cas Latency: 15,Kloksnelheid: 2666 MHz,Voltage:  1.2,Heatsink kleur: Rood"
"[{'url': 'http://img.informatique.nl/110/543026.jpg', 'path': 'full/a153f747ee8f94de64337d4a102008a01170c9c3.jpg', 'checksum': '13a2b2938678c4615041281649ffb605'}]",Corsair Dominator 16GB DDR4 2800MHz,http://www.informatique.nl/543026/corsair-dominator-16gb-ddr4-2800mhz.html,Informatique,"€ 519,00",http://img.informatique.nl/110/543026.jpg,"16 (4 modules),Cas Latency: 15,Kloksnelheid: 2800 MHz,Voltage:  1.2,Heatsink kleur: Zwart"
"[{'url': 'http://img.informatique.nl/110/543028.jpg', 'path': 'full/5cee333512bc7588cfc8e0b0883446663efd6f89.jpg', 'checksum': '28dfc369793f91598aa9c8729b1a4d96'}]",Corsair Vengeance 16GB DDR4 2666MHz,http://www.informatique.nl/543028/corsair-vengeance-16gb-ddr4-2666mhz.html,Informatique,"€ 407,00",http://img.informatique.nl/110/543028.jpg,"16 (4 modules),Cas Latency: 15,Kloksnelheid: 2666 MHz,Voltage:  1.2,Heatsink kleur: Rood"
"[{'url': 'http://img.informatique.nl/110/543029.jpg', 'path': 'full/8b6cb59760bce06befa6f40385433867312524b6.jpg', 'checksum': '4cd7e7d93e8d2b4acfc2444bb6780141'}]",Corsair Vengeance 16GB DDR4 2800MHz,http://www.informatique.nl/543029/corsair-vengeance-16gb-ddr4-2800mhz.html,Informatique,"€ 373,00",http://img.informatique.nl/110/543029.jpg,"16 (4 modules),Cas Latency: 16,Kloksnelheid: 2800 MHz,Voltage:  1.2,Heatsink kleur: Zwart"
"[{'url': 'http://img.informatique.nl/110/543053.jpg', 'path': 'full/8a8e2082bd18756b4201bf05f0bad7ef7be970c5.jpg', 'checksum': 'f9494e2593af56677a1542f7b3749d5a'}]",Ballistix Sport 8GB(2x4GB) DDR4 2400MHz,http://www.informatique.nl/543053/ballistix-sport-8gb-2x4gb-ddr4-2400mhz.html,Informatique,"€ 125,00",http://img.informatique.nl/110/543053.jpg,"8 (2 modules),Cas Latency: 16,Kloksnelheid: 2400 MHz,Voltage:  1.2,Heatsink kleur: Grijs"
"[{'url': 'http://img.informatique.nl/110/543054.jpg', 'path': 'full/7fcd9d06eaee6d054b319ab373f570749fda82e1.jpg', 'checksum': 'f9494e2593af56677a1542f7b3749d5a'}]",Ballistix Sport 16GB(2x8GB) DDR4 2400MHz,http://www.informatique.nl/543054/ballistix-sport-16gb-2x8gb-ddr4-2400mhz.html,Informatique,"€ 243,00",http://img.informatique.nl/110/543054.jpg,"16 (2 modules),Cas Latency: 16,Kloksnelheid: 2400 MHz,Voltage:  1.2,Heatsink kleur: Grijs"
"[{'url': 'http://img.informatique.nl/110/543057.jpg', 'path': 'full/d4d8e0af29f0fff51c76da96b2207b6918b9ef1d.jpg', 'checksum': '5fe21ed83ca57b0c7118b2ab2061874b'}]",Ballistix Sport 4GB DDR4 2400MHz CL16,http://www.informatique.nl/543057/ballistix-sport-4gb-ddr4-2400mhz-cl16.html,Informatique,"€ 63,00",http://img.informatique.nl/110/543057.jpg,"4 (1 modules),Cas Latency: 16,Kloksnelheid: 2400 MHz,Voltage:  1.2,Heatsink kleur: Grijs"
"[{'url': 'http://img.informatique.nl/110/543058.jpg', 'path': 'full/35dffb90e503d318633d22722ef3ff85bd9c3655.jpg', 'checksum': 'ee77550330d146395808e200e9545dd9'}]",Ballistix Sport 16GB(4x4GB) DDR4 2400MHz,http://www.informatique.nl/543058/ballistix-sport-16gb-4x4gb-ddr4-2400mhz.html,Informatique,"€ 269,00",http://img.informatique.nl/110/543058.jpg,"16 (4 modules),Cas Latency: 16,Kloksnelheid: 2400 MHz,Voltage:  1.2,Heatsink kleur: Grijs"
"[{'url': 'http://img.informatique.nl/110/543060.jpg', 'path': 'full/0030707c6ba028e3ff5faa67c0efc2a84d54e630.jpg', 'checksum': '5fe21ed83ca57b0c7118b2ab2061874b'}]",Ballistix Sport 8GB DDR4 2400MHz CL16,http://www.informatique.nl/543060/ballistix-sport-8gb-ddr4-2400mhz-cl16.html,Informatique,"€ 125,00",http://img.informatique.nl/110/543060.jpg,"8 (1 modules),Cas Latency: 16,Kloksnelheid: 2400 MHz,Voltage:  1.2,Heatsink kleur: Grijs"
"[{'url': 'http://img.informatique.nl/110/543112.jpg', 'path': 'full/229b4af1534eb6cffb16c551470c35af6bd3b68f.jpg', 'checksum': 'c0d2fee648b265c26203a1e280f916b7'}]",Crucial CT8G4DFD8213,http://www.informatique.nl/543112/crucial-ct8g4dfd8213.html,Informatique,"€ 99,00",http://img.informatique.nl/110/543112.jpg,"8 (1 modules),Cas Latency: 15,Kloksnelheid: 2133 MHz,Voltage:  1.2,Heatsink kleur:"
"[{'url': 'http://img.informatique.nl/110/543261.jpg', 'path': 'full/eff8bab2a1367f5ede4f6359ce93863a7152cd22.jpg', 'checksum': 'bd22bf31df39bdce9150aa1f7025e1a5'}]",G.Skill Ripjaws 4 16GB DDR4 2133MHz CL15,http://www.informatique.nl/543261/g-skill-ripjaws-4-16gb-ddr4-2133mhz-cl15.html,Informatique,"€ 278,00",http://img.informatique.nl/110/543261.jpg,"16 (4 modules),Cas Latency: 15,Kloksnelheid: 2133 MHz,Voltage:  1.2,Heatsink kleur: Zwart"
"[{'url': 'http://img.informatique.nl/110/543262.jpg', 'path': 'full/f2e3a24ded67d3bfcf3a981bc6b54976af90f1f7.jpg', 'checksum': '1d21758c747f1a18aa026193ea29b9d9'}]",G.Skill Ripjaws 4 16GB DDR4 2133MHz CL15,http://www.informatique.nl/543262/g-skill-ripjaws-4-16gb-ddr4-2133mhz-cl15.html,Informatique,"€ 286,00",http://img.informatique.nl/110/543262.jpg,"16 (4 modules),Cas Latency: 15,Kloksnelheid: 2133 MHz,Voltage:  1.2,Heatsink kleur: Blauw"
"[{'url': 'http://img.informatique.nl/110/543263.jpg', 'path': 'full/8cdd649dbd11ae9971ee68a2515dbd48fdd576d3.jpg', 'checksum': 'f034d9d149edff06563909da39d8b3ba'}]",G.Skill Ripjaws 4 16GB DDR4 2133MHz CL15,http://www.informatique.nl/543263/g-skill-ripjaws-4-16gb-ddr4-2133mhz-cl15.html,Informatique,"€ 286,00",http://img.informatique.nl/110/543263.jpg,"16 (4 modules),Cas Latency: 15,Kloksnelheid: 2133 MHz,Voltage:  1.2,Heatsink kleur: Zwart"
"[{'url': 'http://img.informatique.nl/110/543264.jpg', 'path': 'full/ea938a87e87c970584bf39b694e60069cd423314.jpg', 'checksum': '1a4bc227beb23f7f45a3c281d640c8f5'}]",G.Skill Ripjaws 4 16GB DDR4 2133MHz CL15,http://www.informatique.nl/543264/g-skill-ripjaws-4-16gb-ddr4-2133mhz-cl15.html,Informatique,"€ 286,00",http://img.informatique.nl/110/543264.jpg,"16 (4 modules),Cas Latency: 15,Kloksnelheid: 2133 MHz,Voltage:  1.2,Heatsink kleur: Rood"
