name,url,webshop,price,image_urls,desc
"AMD Athlon 5150, 1,6 GHz AM1 processor mPGA, ""Kabini"", boxed",/AMD/Athlon-5150-1-6-GHz-AM1-processor/html/product/1128611?tk=7&lk=9487,alternate.nl,"€ 47,",placeholder,"
          1.600 MHz 
        ,
          4  cores 
        ,
          AM1 
        "
"AMD Athlon™ 5350, 2,05 GHz AM1 processor ""Kabini"", boxed",/AMD/Athlon(TM)-5350-2-05-GHz-AM1-processor/html/product/1128615?tk=7&lk=9487,alternate.nl,"€ 57,",placeholder,"
          2.050 MHz 
        ,
          4  cores 
        ,
           
        "
"AMD Sempron 2650, 1,45 GHz AM1 processor mPGA, ""Kabini"", boxed",/AMD/Sempron-2650-1-45-GHz-AM1-processor/html/product/1128617?tk=7&lk=9487,alternate.nl,"€ 32,",placeholder,"
          1.450 MHz 
        ,
          2  cores 
        ,
           
        "
"AMD Sempron 3850, 1,3 GHz AM1 processor mPGA, ""Kabini"", boxed",/AMD/Sempron-3850-1-3-GHz-AM1-processor/html/product/1128621?tk=7&lk=9487,alternate.nl,"€ 37,",placeholder,"
          1.300 MHz 
        ,
          4  cores 
        ,
           
        "
"AMD FX-4300, 3,8 GHz (4,0 GHz Turbo Boost) AM3+ processor ""Vishera"", boxed",/AMD/FX-4300-3-8-GHz-(4-0-GHz-Turbo-Boost)-AM3+-processor/html/product/1038197?tk=7&lk=9487,alternate.nl,"€ 81,",placeholder,"
          3.800 MHz 
        ,
          4  cores 
        ,
          AM3+ 
        "
"AMD FX-4350, 4,2 GHz (4,3 GHz Turbo Boost) AM3+ processor ""Vishera""",/AMD/FX-4350-4-2-GHz-(4-3-GHz-Turbo-Boost)-AM3+-processor/html/product/1076408?tk=7&lk=9487,alternate.nl,"€ 98,",placeholder,"
          4.200 MHz 
        ,
          4  cores 
        ,
          AM3+ 
        "
"AMD FX-6300, 3,5 GHz (4,1 GHz Turbo Boost) AM3+ processor ""Vishera"", boxed",/AMD/FX-6300-3-5-GHz-(4-1-GHz-Turbo-Boost)-AM3+-processor/html/product/1038200?tk=7&lk=9487,alternate.nl,"€ 98,",placeholder,"
          3.500 MHz 
        ,
          6  cores 
        ,
          AM3+ 
        "
"AMD FX-6350, 3,9 GHz (4,2 GHz Turbo Boost) AM3+ processor ""Vishera"", boxed",/AMD/FX-6350-3-9-GHz-(4-2-GHz-Turbo-Boost)-AM3+-processor/html/product/1076412?tk=7&lk=9487,alternate.nl,"€ 119,",placeholder,"
          3.900 MHz 
        ,
          6  cores 
        ,
          AM3+ 
        "
"AMD FX-8320, 3,5 GHz (4,0 GHz Turbo Boost) AM3+ processor ""Vishera"", boxed",/AMD/FX-8320-3-5-GHz-(4-0-GHz-Turbo-Boost)-AM3+-processor/html/product/1038225?tk=7&lk=9487,alternate.nl,"€ 132,",placeholder,"
          3.500 MHz 
        ,
          8  cores 
        ,
          AM3+ 
        "
"AMD FX-8320E, 3,2 GHz AM3+ processor ""Vishera"", boxed",/AMD/FX-8320E-3-2-GHz-AM3+-processor/html/product/1153699?tk=7&lk=9487,alternate.nl,"€ 147,",placeholder,"
          3.200 MHz 
        ,
          8  cores 
        ,
          AM3+ 
        "
"AMD FX-8350, 4,0 GHz (4,2 GHz Turbo Boost) AM3+ processor ""Vishera"", boxed",/AMD/FX-8350-4-0-GHz-(4-2-GHz-Turbo-Boost)-AM3+-processor/html/product/1038227?tk=7&lk=9487,alternate.nl,"€ 164,",placeholder,"
          4.000 MHz 
        ,
          8  cores 
        ,
          AM3+ 
        "
"AMD FX-8370, 4 GHz AM3+ processor ""Vishera"", boxed",/AMD/FX-8370-4-GHz-AM3+-processor/html/product/1153702?tk=7&lk=9487,alternate.nl,"€ 202,",placeholder,"
          4.000 MHz 
        ,
          8  cores 
        ,
          AM3+ 
        "
"AMD FX-8370E, 3,3 GHz AM3+ processor ""Vishera"", boxed",/AMD/FX-8370E-3-3-GHz-AM3+-processor/html/product/1153705?tk=7&lk=9487,alternate.nl,"€ 202,",placeholder,"
          3.300 MHz 
        ,
          8  cores 
        ,
          AM3+ 
        "
"AMD FX-9370, 4,4 GHz (4,7 GHz Turbo Boost) AM3+ processor mPGA, ""Vishera"", zonder koeler",/AMD/FX-9370-4-4-GHz-(4-7-GHz-Turbo-Boost)-AM3+-processor/html/product/1086664?tk=7&lk=9487,alternate.nl,"€ 202,",placeholder,"
          4.400 MHz 
        ,
          8  cores 
        ,
          AM3+ 
        "
"AMD FX-9590, 4,7 GHz (5,0 GHz Turbo Boost) AM3+ processor mPGA, ""Vishera"", zonder koeler",/AMD/FX-9590-4-7-GHz-(5-0-GHz-Turbo-Boost)-AM3+-processor/html/product/1086666?tk=7&lk=9487,alternate.nl,"€ 224,",placeholder,"
          4.700 MHz 
        ,
          8  cores 
        ,
          AM3+ 
        "
