name,url,webshop,price,image_urls,desc
Hewlett-Packard Upgradebehuizing 750-GB vaste schijf (H2P66AA) harde schijf ,/Hewlett-Packard/Upgradebehuizing-750-GB-vaste-schijf-(H2P66AA)-harde-schijf/html/product/1006160?tk=7&lk=9564,alternate.nl,"€ 239,",placeholder,"
          750 GB 
        ,
          -/-/- 
        ,
          € 0,, 
        "
"HGST Travelstar 5K1000, 1 TB harde schijf SATA 600, HTE541010A9E680, AF, 24/7, Bulk",/HGST/Travelstar-5K1000-1-TB-harde-schijf/html/product/1042205?tk=7&lk=9564,alternate.nl,"€ 66,",placeholder,"
          1 TB 
        ,
          12 ms/8 MB/5.400 rpm 
        ,
          € 0,, 
        "
"HGST Travelstar 5K1000, 1 TB harde schijf SATA 600, HTS541010A9E680, AF, Retail",/HGST/Travelstar-5K1000-1-TB-harde-schijf/html/product/992853?tk=7&lk=9564,alternate.nl,"€ 56,",placeholder,"
          1 TB 
        ,
          12 ms/8 MB/5.400 rpm 
        ,
          € 0,, 
        "
"HGST Travelstar 5K1000, 750 GB harde schijf SATA 600, HTE541075A9E680",/HGST/Travelstar-5K1000-750-GB-harde-schijf/html/product/1042202?tk=7&lk=9564,alternate.nl,"€ 72,",placeholder,"
          750 GB 
        ,
          12 ms/8 MB/5.400 rpm 
        ,
          € 0,, 
        "
"HGST Travelstar 7K1000, 1 TB harde schijf SATA 600, HTS721010A9E630, AF, Bulk",/HGST/Travelstar-7K1000-1-TB-harde-schijf/html/product/1066142?tk=7&lk=9564,alternate.nl,"€ 62,",placeholder,"
          1 TB 
        ,
          12 ms/32 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Travelstar Z5K500, 500 GB harde schijf HTS545050A7E380, Bulk",/HGST/Travelstar-Z5K500-500-GB-harde-schijf/html/product/797154?tk=7&lk=9564,alternate.nl,"€ 42,",placeholder,"
          500 GB 
        ,
          13 ms/8 MB/5.400 rpm 
        ,
          € 0,, 
        "
"HGST Travelstar Z7K500, 500 GB harde schijf SATA 600, HTE725050A7E360, Bulk",/HGST/Travelstar-Z7K500-500-GB-harde-schijf/html/product/1023722?tk=7&lk=9564,alternate.nl,"€ 51,",placeholder,"
          500 GB 
        ,
          13 ms/32 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Travelstar Z7K500, 500 GB harde schijf SATA 600, HTS757550A7E360, Bulk",/HGST/Travelstar-Z7K500-500-GB-harde-schijf/html/product/1003802?tk=7&lk=9564,alternate.nl,"€ 43,",placeholder,"
          500 GB 
        ,
          13 ms/32 MB/7.200 rpm 
        ,
          € 0,, 
        "
"HGST Travelstar ZK500, 500 GB harde schijf HTE545050A7E380, 7mm, 24/7, AF, Bulk",/HGST/Travelstar-ZK500-500-GB-harde-schijf/html/product/797174?tk=7&lk=9564,alternate.nl,"€ 51,",placeholder,"
          500 GB 
        ,
          13 ms/8 MB/5.400 rpm 
        ,
          € 0,, 
        "
"Seagate Constellation.2, 1 TB harde schijf SATA 600, ST91000640NS, 15mm hoog",/Seagate/Constellation-2-1-TB-harde-schijf/html/product/1018174?tk=7&lk=9564,alternate.nl,"€ 219,",placeholder,"
          1 TB 
        ,
          -/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"Seagate Constellation.2, 500 GB harde schijf SATA 600, ST9500620NS, 15mm hoog, Bulk",/Seagate/Constellation-2-500-GB-harde-schijf/html/product/795198?tk=7&lk=9564,alternate.nl,"€ 167,",placeholder,"
          500 GB 
        ,
          8,5 ms/64 MB/7.200 rpm 
        ,
          € 0,, 
        "
"Seagate Laptop Thin HDD, 500 GB harde schijf SATA 600, ST500LM021, 7mm hoog",/Seagate/Laptop-Thin-HDD-500-GB-harde-schijf/html/product/1147172?tk=7&lk=9564,alternate.nl,"€ 52,",placeholder,"
          500 GB 
        ,
          11 ms/32 MB/7.200 rpm 
        ,
          € 0,, 
        "
"Seagate Momentus Thin, 500 GB harde schijf ST500LT012, Bulk",/Seagate/Momentus-Thin-500-GB-harde-schijf/html/product/1066025?tk=7&lk=9564,alternate.nl,"€ 47,",placeholder,"
          500 GB 
        ,
          11 ms/16 MB/5.400 rpm 
        ,
          € 0,, 
        "
"Western Digital AV-25, 1 TB harde schijf WD10JUCT, 24/7, Advanced Format, Bulk",/Western-Digital/AV-25-1-TB-harde-schijf/html/product/1019660?tk=7&lk=9564,alternate.nl,"€ 76,",placeholder,"
          1 TB 
        ,
          -/16 MB/5.400 rpm 
        ,
          € 0,, 
        "
"Western Digital AV-25, 320 GB harde schijf WD3200BUCT, 24/7, Advanced Format, Bulk",/Western-Digital/AV-25-320-GB-harde-schijf/html/product/914198?tk=7&lk=9564,alternate.nl,"€ 53,",placeholder,"
          320 GB 
        ,
          5,5 ms/16 MB/5.400 rpm 
        ,
          € 0,, 
        "
"Western Digital AV-25, 500 GB harde schijf WD5000LUCT, 24/7",/Western-Digital/AV-25-500-GB-harde-schijf/html/product/1053626?tk=7&lk=9564,alternate.nl,"€ 61,",placeholder,"
          500 GB 
        ,
          -/16 MB/5.400 rpm 
        ,
          € 0,, 
        "
"Western Digital Black, 250 GB harde schijf SATA 600, WD2500BEKX, AF",/Western-Digital/Black-250-GB-harde-schijf/html/product/1104767?tk=7&lk=9564,alternate.nl,"€ 51,",placeholder,"
          250 GB 
        ,
          -/16 MB/7.200 rpm 
        ,
          € 0,, 
        "
"Western Digital Black, 320 GB harde schijf SATA 600, WD3200BEKX, AF",/Western-Digital/Black-320-GB-harde-schijf/html/product/1104766?tk=7&lk=9564,alternate.nl,"€ 51,",placeholder,"
          320 GB 
        ,
          -/16 MB/7.200 rpm 
        ,
          € 0,, 
        "
"Western Digital Black, 500 GB harde schijf SATA 600, WD5000BPKX",/Western-Digital/Black-500-GB-harde-schijf/html/product/1097825?tk=7&lk=9564,alternate.nl,"€ 54,",placeholder,"
          500 GB 
        ,
          3,2 ms/16 MB/7.200 rpm 
        ,
          € 0,, 
        "
"Western Digital Black, 750 GB harde schijf SATA 600, WD7500BPKX",/Western-Digital/Black-750-GB-harde-schijf/html/product/1097819?tk=7&lk=9564,alternate.nl,"€ 61,",placeholder,"
          750 GB 
        ,
          3,2 ms/16 MB/7.200 rpm 
        ,
          € 0,, 
        "
