name,url,webshop,price,image_urls,desc
"Alpenföhn ""Brocken Eco"", Actieve CPU koeler PWM-aansluiting",/Alpenföhn/Brocken-Eco-Actieve-CPU-koeler/html/product/1142560?tk=7&lk=9344,alternate.nl,"€ 34,",placeholder,"
          1155, 1156, 1366, 2011, 775, AM2, AM2+, AM3, AM3+, FM1, 1150, FM2 
        ,
           
        ,
          111,14 m³/h (65,4 cfm) 
        "
"Alpenföhn ""Brocken"" 2, Actieve CPU koeler ",/Alpenföhn/Brocken-2-Actieve-CPU-koeler/html/product/1055179?tk=7&lk=9344,alternate.nl,"€ 49,",placeholder,"
          1155, 1156, 1366, 2011, 775, AM2, AM2+, AM3, AM3+, FM1, 1150 
        ,
           
        ,
          109 m³/h (64,2 cfm) 
        "
"Alpenföhn ""Brocken"", Actieve CPU koeler Retail",/Alpenföhn/Brocken-Actieve-CPU-koeler/html/product/31283?tk=7&lk=9344,alternate.nl,"€ 41,",placeholder,"
          1155, 1156, 1366, 754, 775, 939, 940, AM2, AM2+, FM1 
        ,
          21 dB 
        ,
          101,89 m³/h (60 cfm) 
        "
"Alpenföhn ""Gotthard"", Actieve CPU koeler PWM-aansluiting, Retail",/Alpenföhn/Gotthard-Actieve-CPU-koeler/html/product/850030?tk=7&lk=9344,alternate.nl,"€ 69,",placeholder,"
          1155, 1156, 1366, 2011, 775, AM2, AM2+, AM3, AM3+, FM1, 1150 
        ,
          10 - 19,4 dB 
        ,
          104,7 m³/h (61,6 cfm) 
        "
"Alpenföhn ""Groß Clock'ner rev.C"", Actieve CPU koeler 3-pin-aansluiting, Retail",/Alpenföhn/Groß-Clockner-rev-C-Actieve-CPU-koeler/html/product/663420?tk=7&lk=9344,alternate.nl,"€ 36,",placeholder,"
          1155, 1156, 1366, 754, 775, 939, 940, AM2, AM2+, AM3, AM3+, FM1, 1150, FM2 
        ,
          17 dB (0,2 sone) 
        ,
           
        "
"Alpenföhn ""Panorama"", Actieve CPU koeler Retail",/Alpenföhn/Panorama-Actieve-CPU-koeler/html/product/136267?tk=7&lk=9344,alternate.nl,"€ 23,",placeholder,"
          1155, 1156, 775, AM2, AM2+, AM3, FM1, 1150, FM2 
        ,
          22 dB 
        ,
          38,2 m³/h (22,49 cfm) 
        "
"Alpenföhn ""Sella"", Actieve CPU koeler Retail",/Alpenföhn/Sella-Actieve-CPU-koeler/html/product/796774?tk=7&lk=9344,alternate.nl,"€ 24,",placeholder,"
          1155, 1156, 754, 775, 939, 940, AM2, AM2+, AM3, FM1 
        ,
          14 - 29,8 dB 
        ,
          62,8 m³/h (37 cfm) 
        "
"Alpenföhn ""Silvretta"", Actieve CPU koeler ",/Alpenföhn/Silvretta-Actieve-CPU-koeler/html/product/1082952?tk=7&lk=9344,alternate.nl,"€ 24,",placeholder,"
          1155, 1156, 775, AM2, AM2+, AM3, AM3+, FM1, 1150, FM2 
        ,
           
        ,
          80,03 m³/h (47,1 cfm) 
        "
"Alpenföhn Himalaya 2, Actieve CPU koeler ",/Alpenföhn/Himalaya-2-Actieve-CPU-koeler/html/product/1103862?tk=7&lk=9344,alternate.nl,"€ 69,",placeholder,"
          1155, 1156, 1366, 2011, 775, AM2, AM2+, AM3, AM3+, FM1, 1150, FM2 
        ,
           
        ,
          108 m³/h (63,6 cfm) 
        "
"AlphaCool NexXxoS Cool Answer 120 DDC/XT, Waterkoeling set ",/AlphaCool/NexXxoS-Cool-Answer-120-DDC-XT-Waterkoeling-set/html/product/1069303?tk=7&lk=9344,alternate.nl,"€ 189,",placeholder,"
           
        ,
           
        ,
           
        "
"AlphaCool NexXxoS Cool Answer 120 LT/ST, Waterkoeling set ",/AlphaCool/NexXxoS-Cool-Answer-120-LT-ST-Waterkoeling-set/html/product/1069310?tk=7&lk=9344,alternate.nl,"€ 139,",placeholder,"
           
        ,
           
        ,
           
        "
"AlphaCool NexXxoS Cool Answer 240 DDC/XT, Waterkoeling set ",/AlphaCool/NexXxoS-Cool-Answer-240-DDC-XT-Waterkoeling-set/html/product/1069311?tk=7&lk=9344,alternate.nl,"€ 199,",placeholder,"
           
        ,
           
        ,
           
        "
"AlphaCool NexXxoS Cool Answer 240 LT/ST, Waterkoeling set ",/AlphaCool/NexXxoS-Cool-Answer-240-LT-ST-Waterkoeling-set/html/product/1069312?tk=7&lk=9344,alternate.nl,"€ 144,",placeholder,"
           
        ,
           
        ,
           
        "
"AlphaCool NexXxoS Cool Answer 360 DDC/XT, Waterkoeling set ",/AlphaCool/NexXxoS-Cool-Answer-360-DDC-XT-Waterkoeling-set/html/product/1069313?tk=7&lk=9344,alternate.nl,"€ 209,",placeholder,"
           
        ,
           
        ,
           
        "
