name,url,webshop,price,image_urls,desc
Cooler Master Comforter Air Blauw,/Cooler-Master/Comforter-Air/html/product/1094389?tk=7&lk=13094,alternate.nl,"€ 34,",placeholder,"
           
        ,
           
        ,
           
        "
Cooler Master Comforter Air Zwart,/Cooler-Master/Comforter-Air/html/product/1094388?tk=7&lk=13094,alternate.nl,"€ 34,",placeholder,"
           
        ,
           
        ,
           
        "
Cooler Master NotePal AX Zwart,/Cooler-Master/NotePal-AX/html/product/1081282?tk=7&lk=13094,alternate.nl,"€ 24,",placeholder,"
           
        ,
           
        ,
           
        "
Cooler Master NotePal ErgoStand II Zwart,/Cooler-Master/NotePal-ErgoStand-II/html/product/1055870?tk=7&lk=13094,alternate.nl,"€ 34,",placeholder,"
           
        ,
           
        ,
           
        "
Cooler Master NotePal ErgoStand Lite Zwart,/Cooler-Master/NotePal-ErgoStand-Lite/html/product/1094382?tk=7&lk=13094,alternate.nl,"€ 31,",placeholder,"
           
        ,
           
        ,
           
        "
Cooler Master NotePal I300 Blue  LED Zwart,/Cooler-Master/NotePal-I300-Blue-LED/html/product/1093167?tk=7&lk=13094,alternate.nl,"€ 24,",placeholder,"
           
        ,
           
        ,
           
        "
Cooler Master NotePal I300 Red   LED Zwart,/Cooler-Master/NotePal-I300-Red-LED/html/product/1093169?tk=7&lk=13094,alternate.nl,"€ 24,",placeholder,"
           
        ,
           
        ,
           
        "
Cooler Master NotePal I300 White LED Zwart,/Cooler-Master/NotePal-I300-White-LED/html/product/1093170?tk=7&lk=13094,alternate.nl,"€ 24,",placeholder,"
           
        ,
           
        ,
           
        "
Cooler Master NotePal Infinite Evo Retail,/Cooler-Master/NotePal-Infinite-Evo/html/product/874588?tk=7&lk=13094,alternate.nl,"€ 35,",placeholder,"
           
        ,
           
        ,
           
        "
"Cooler Master NotePal LapAir Zwart, Retail",/Cooler-Master/NotePal-LapAir/html/product/874590?tk=7&lk=13094,alternate.nl,"€ 24,",placeholder,"
           
        ,
           
        ,
           
        "
Cooler Master NotePal U2 Plus Titanium Titanium,/Cooler-Master/NotePal-U2-Plus-Titanium/html/product/1093074?tk=7&lk=13094,alternate.nl,"€ 29,",placeholder,"
           
        ,
           
        ,
           
        "
