name,url,webshop,price,image_urls,desc
"AlphaCool NexXxoS Cool Answer 120 DDC/XT, Waterkoeling set ",/AlphaCool/NexXxoS-Cool-Answer-120-DDC-XT-Waterkoeling-set/html/product/1069303?tk=7&lk=9351,alternate.nl,"€ 189,",placeholder,"
           
        ,
           
        ,
           
        "
"AlphaCool NexXxoS Cool Answer 120 LT/ST, Waterkoeling set ",/AlphaCool/NexXxoS-Cool-Answer-120-LT-ST-Waterkoeling-set/html/product/1069310?tk=7&lk=9351,alternate.nl,"€ 139,",placeholder,"
           
        ,
           
        ,
           
        "
"AlphaCool NexXxoS Cool Answer 240 DDC/XT, Waterkoeling set ",/AlphaCool/NexXxoS-Cool-Answer-240-DDC-XT-Waterkoeling-set/html/product/1069311?tk=7&lk=9351,alternate.nl,"€ 199,",placeholder,"
           
        ,
           
        ,
           
        "
"AlphaCool NexXxoS Cool Answer 240 LT/ST, Waterkoeling set ",/AlphaCool/NexXxoS-Cool-Answer-240-LT-ST-Waterkoeling-set/html/product/1069312?tk=7&lk=9351,alternate.nl,"€ 144,",placeholder,"
           
        ,
           
        ,
           
        "
"AlphaCool NexXxoS Cool Answer 360 DDC/XT, Waterkoeling set ",/AlphaCool/NexXxoS-Cool-Answer-360-DDC-XT-Waterkoeling-set/html/product/1069313?tk=7&lk=9351,alternate.nl,"€ 209,",placeholder,"
           
        ,
           
        ,
           
        "
"AlphaCool NexXxoS Cool Answer 360 LT/ST, Waterkoeling set ",/AlphaCool/NexXxoS-Cool-Answer-360-LT-ST-Waterkoeling-set/html/product/1069314?tk=7&lk=9351,alternate.nl,"€ 159,",placeholder,"
           
        ,
           
        ,
           
        "
"AlphaCool NexXxoS XP³ Light - Acetal Edition, CPU waterkoeler Waterkoeling",/AlphaCool/NexXxoS-XP3-Light-Acetal-Edition-CPU-waterkoeler/html/product/1071570?tk=7&lk=9351,alternate.nl,"€ 49,",placeholder,"
           
        ,
           
        ,
           
        "
"Cooler Master Nepton 140XL, Waterkoeling set Zwart, PWM",/Cooler-Master/Nepton-140XL-Waterkoeling-set/html/product/1107131?tk=7&lk=9351,alternate.nl,"€ 99,",placeholder,"
           
        ,
          25 dB 
        ,
          91,7 - 208,1 m³/h (54 - 122,5 cfm) 
        "
"Cooler Master Nepton 280L, Waterkoeling set Zwart, PWM",/Cooler-Master/Nepton-280L-Waterkoeling-set/html/product/1107132?tk=7&lk=9351,alternate.nl,"€ 99,",placeholder,"
           
        ,
          21 - 39 dB 
        ,
          91,7 - 208,1 m³/h (54 - 122,5 cfm) 
        "
"Cooler Master Seidon 120V, Waterkoeling set Zwart",/Cooler-Master/Seidon-120V-Waterkoeling-set/html/product/1084260?tk=7&lk=9351,alternate.nl,"€ 44,",placeholder,"
           
        ,
          19 - 40 dB 
        ,
          32,6 - 146,4 m³/h (19,17 - 86,15 cfm) 
        "
