name,url,webshop,price,image_urls,desc
"ALTERNATE Upgrade Kit ASUS MAXIMUS VI HERO / i7 4770K / 8GB Moederbord, CPU, Geheugen, Kit",/ALTERNATE/Upgrade-Kit-ASUS-MAXIMUS-VI-HERO-i7-4770K-8GB/html/product/1094405?tk=7&lk=9435,alternate.nl,"€ 529,-",placeholder,"
          ATX 
        ,
          onboard, 3x PCIe x16, CrossFireX, SLI 
        ,
          1150 
        "
"ALTERNATE Upgrade Kit GigaByte GA-B75M-D3V / i5-3470 / 8GB Moederbord, CPU, Geheugen, Kit",/ALTERNATE/Upgrade-Kit-GigaByte-GA-B75M-D3V-i5-3470-8GB/html/product/1038170?tk=7&lk=9435,alternate.nl,"€ 289,-",placeholder,"
          µATX 
        ,
          onboard, 1x PCIe x16 
        ,
          1155 
        "
"ALTERNATE Upgrade Kit Gigabyte GA-Z87X-UD3H/ i5-4670K/ 8GB Moederbord, CPU, Geheugen",/ALTERNATE/Upgrade-Kit-Gigabyte-GA-Z87X-UD3H-i5-4670K-8GB/html/product/1085896?tk=7&lk=9435,alternate.nl,"€ 419,-",placeholder,"
          ATX 
        ,
          onboard, 3x PCIe x16, CrossFireX, SLI 
        ,
          1150 
        "
"ALTERNATE Upgrade Kit MSI Z87-G45 Gaming / i7 4770K / 8GB Moederbord, CPU, Geheugen, Kit",/ALTERNATE/Upgrade-Kit-MSI-Z87-G45-Gaming-i7-4770K-8GB/html/product/1095119?tk=7&lk=9435,alternate.nl,"€ 479,-",placeholder,"
          ATX 
        ,
          onboard, 3x PCIe x16, CrossFireX, SLI 
        ,
          1150 
        "
"ALTERNATE Upgrade Kit ASRock Q87M vPro / i3-4160 / 8 GB Moederbord, CPU, Geheugen",/ALTERNATE/Upgrade-Kit-ASRock-Q87M-vPro-i3-4160-8-GB/html/product/1153301?tk=7&lk=9435,alternate.nl,"€ 289,-",placeholder,"
          µATX 
        ,
          onboard, 1x PCIe x16 
        ,
          1150 
        "
"ALTERNATE Upgrade Kit ASUS MAXIMUS VII RANGER /i5 4670K/ 8GB Moederbord, CPU, Geheugen",/ALTERNATE/Upgrade-Kit-ASUS-MAXIMUS-VII-RANGER-i5-4670K-8GB/html/product/1146379?tk=7&lk=9435,alternate.nl,"€ 429,-",placeholder,"
          ATX 
        ,
          onboard, 3x PCIe x16, CrossFireX, SLI 
        ,
          1150 
        "
"ALTERNATE Upgrade Kit GIGABYTE GA-B85M-HD3 / i5-4460 / 8 GB Moederbord, CPU, Geheugen",/ALTERNATE/Upgrade-Kit-GIGABYTE-GA-B85M-HD3-i5-4460-8-GB/html/product/1152243?tk=7&lk=9435,alternate.nl,"€ 279,",placeholder,"
          µATX 
        ,
          onboard, 1x PCIe x16 
        ,
          1150 
        "
"ASRock AD2550B-ITX, moederbord CPU, LAN, VGA, Sound, Mini-ITX",/ASRock/AD2550B-ITX-moederbord/html/product/1085817?tk=7&lk=9435,alternate.nl,"€ 57,",placeholder,"
          Mini ITX 
        ,
          onboard 
        ,
          integrated 
        "
"ASRock C2550D4I, moederbord CPU, RAID, Gb-LAN, VGA, Mini-ITX",/ASRock/C2550D4I-moederbord/html/product/1118629?tk=7&lk=9435,alternate.nl,"€ 279,-",placeholder,"
          Mini ITX 
        ,
          onboard 
        ,
          integrated 
        "
"ASRock C2750D4I, moederbord CPU, Gb-LAN, VGA, Mini-ITX",/ASRock/C2750D4I-moederbord/html/product/1112688?tk=7&lk=9435,alternate.nl,"€ 364,-",placeholder,"
          Mini ITX 
        ,
          onboard 
        ,
          integrated 
        "
"ASRock D1800B-ITX, moederbord CPU, Gb-LAN, Sound, Mini-ITX",/ASRock/D1800B-ITX-moederbord/html/product/1133964?tk=7&lk=9435,alternate.nl,"€ 54,",placeholder,"
          Mini ITX 
        ,
          onboard 
        ,
          integrated 
        "
"ASRock D1800M, moederbord CPU, Gb-LAN, Sound, µATX",/ASRock/D1800M-moederbord/html/product/1137548?tk=7&lk=9435,alternate.nl,"€ 54,",placeholder,"
          µATX 
        ,
          onboard, 1x PCIe x16 
        ,
          integrated 
        "
"ASRock Q1900B-ITX, moederbord CPU, Gb-LAN, Sound, Mini-ITX",/ASRock/Q1900B-ITX-moederbord/html/product/1133966?tk=7&lk=9435,alternate.nl,"€ 66,",placeholder,"
          Mini ITX 
        ,
          onboard 
        ,
          integrated 
        "
