name,url,webshop,price,image_urls,desc
"ASUS PCE-AC56, WLAN-Adapter Rood, IEEE 802.11ac",/ASUS/PCE-AC56-WLAN-Adapter/html/product/1153402?tk=7&lk=9534,alternate.nl,"€ 59,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS PCE-AC68, WLAN-Adapter Rood, IEEE 802.11ac",/ASUS/PCE-AC68-WLAN-Adapter/html/product/1097919?tk=7&lk=9534,alternate.nl,"€ 79,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS PCE-N10, WLAN-Adapter Retail",/ASUS/PCE-N10-WLAN-Adapter/html/product/866984?tk=7&lk=9534,alternate.nl,"€ 17,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS PCE-N15, WLAN-Adapter Retail",/ASUS/PCE-N15-WLAN-Adapter/html/product/919452?tk=7&lk=9534,alternate.nl,"€ 24,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS PCE-N53, WLAN-Adapter ",/ASUS/PCE-N53-WLAN-Adapter/html/product/1036096?tk=7&lk=9534,alternate.nl,"€ 32,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS USB-AC53, WLAN-Adapter Zwart, IEEE 802.11ac",/ASUS/USB-AC53-WLAN-Adapter/html/product/1076610?tk=7&lk=9534,alternate.nl,"€ 59,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS USB-AC56 Dual-band Wireless-AC1200 Wi-Fi Adapter, WLAN-Adapter Zwart, IEEE 802.11ac, USB 3.0",/ASUS/USB-AC56-Dual-band-Wireless-AC1200-Wi-Fi-Adapter-WLAN-Adapter/html/product/1110501?tk=7&lk=9534,alternate.nl,"€ 69,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS USB-N10 EZ N Netwerkadapter, WLAN-Adapter Zwart",/ASUS/USB-N10-EZ-N-Netwerkadapter-WLAN-Adapter/html/product/142596?tk=7&lk=9534,alternate.nl,"€ 17,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS USB-N10 NANO Wireless-N150 USB Nano Adapter, WLAN-Adapter Zwart, IEEE 802.11 b/g/n, USB 2.0",/ASUS/USB-N10-NANO-Wireless-N150-USB-Nano-Adapter-WLAN-Adapter/html/product/1110499?tk=7&lk=9534,alternate.nl,"€ 19,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS USB-N13, WLAN-Adapter Zwart (Hoogglans), Retail",/ASUS/USB-N13-WLAN-Adapter/html/product/146524?tk=7&lk=9534,alternate.nl,"€ 18,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS USB-N53, WLAN-Adapter Zwart/Zilver, Lite Retail",/ASUS/USB-N53-WLAN-Adapter/html/product/962520?tk=7&lk=9534,alternate.nl,"€ 29,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS Wireless-N300 USB Adapter USB-N14, WLAN-Adapter Zwart (Hoogglans)",/ASUS/Wireless-N300-USB-Adapter-USB-N14-WLAN-Adapter/html/product/1135277?tk=7&lk=9534,alternate.nl,"€ 29,",placeholder,"
           
        ,
           
        ,
           
        "
"ASUS WL-167G V3, WLAN-Adapter Zwart, Lite Retail",/ASUS/WL-167G-V3-WLAN-Adapter/html/product/254434?tk=7&lk=9534,alternate.nl,"€ 14,",placeholder,"
           
        ,
           
        ,
           
        "
"D-Link DWA-140, WLAN-Adapter ",/D-Link/DWA-140-WLAN-Adapter/html/product/50088?tk=7&lk=9534,alternate.nl,"€ 29,",placeholder,"
           
        ,
           
        ,
           
        "
"D-Link DWA-160, WLAN-Adapter ",/D-Link/DWA-160-WLAN-Adapter/html/product/134227?tk=7&lk=9534,alternate.nl,"€ 34,",placeholder,"
           
        ,
           
        ,
           
        "
"D-Link DWA-171, WLAN-Adapter Zwart, IEEE 802.11ac",/D-Link/DWA-171-WLAN-Adapter/html/product/1091478?tk=7&lk=9534,alternate.nl,"€ 29,",placeholder,"
           
        ,
           
        ,
           
        "
"D-Link DWA-182 AC1200, WLAN-Adapter Zwart",/D-Link/DWA-182-AC1200-WLAN-Adapter/html/product/1043052?tk=7&lk=9534,alternate.nl,"€ 49,",placeholder,"
           
        ,
           
        ,
           
        "
"DeLOCK MiniPCIe I/O PCIe full size 1 x Gigabit Lan, Netwerkadapter Lite Retail",/DeLOCK/MiniPCIe-I-O-PCIe-full-size-1-x-Gigabit-Lan-Netwerkadapter/html/product/940420?tk=7&lk=9534,alternate.nl,"€ 44,",placeholder,"
          10/100/1000 MBit/s 
        ,
          1x RJ-45 
        ,
           
        "
"DeLOCK PCI Express Card > 2 x Gigabit LAN, Netwerkadapter ",/DeLOCK/PCI-Express-Card-2-x-Gigabit-LAN-Netwerkadapter/html/product/1096091?tk=7&lk=9534,alternate.nl,"€ 59,",placeholder,"
          10/100/1000 MBit/s 
        ,
          2x RJ-45 
        ,
           
        "
