name,url,webshop,price,image_urls,desc
"ASUS BC-12D2HT Silent, Blu-ray-combo Zwart",/ASUS/BC-12D2HT-Silent-Blu-ray-combo/html/product/1103772?tk=7&lk=9388,alternate.nl,"€ 68,",placeholder,"
          Blu-ray (12 x), DVD (16 x), CD (48 x) 
        ,
          DVD+R (16 x), DVD-R (16 x), CD-R (48 x) 
        ,
          1x SATA/150 
        "
"ASUS BC-12D2HT, Blu-ray-combo Zwart",/ASUS/BC-12D2HT-Blu-ray-combo/html/product/1103773?tk=7&lk=9388,alternate.nl,"€ 61,",placeholder,"
          Blu-ray (12 x), DVD (16 x), CD (48 x) 
        ,
          DVD+R (16 x), DVD-R (16 x), CD-R (48 x) 
        ,
          1x SATA/150 
        "
"ASUS BW-12D1S-U, Externe Blu-ray-brander Zwart, Retail",/ASUS/BW-12D1S-U-Externe-Blu-ray-brander/html/product/866978?tk=7&lk=9388,alternate.nl,"€ 127,",placeholder,"
          Blu-ray (8 x), DVD (16 x), CD (40 x) 
        ,
          BD-R (12 x), BD-RE (2 x) 
        ,
          1x USB-B 2.0, 1x USB-B 3.0 
        "
"ASUS BW-16D1HT Silent, Blu-ray-brander Zwart, Bulk",/ASUS/BW-16D1HT-Silent-Blu-ray-brander/html/product/1103766?tk=7&lk=9388,alternate.nl,"€ 89,",placeholder,"
          Blu-ray (12 x), DVD (16 x), CD (48 x) 
        ,
          BD-R (16 x), BD-RE (2 x) 
        ,
           
        "
"ASUS SBC-06D2X-U, Externe Blu-ray-combo Zwart (Hoogglans), Lite Retail",/ASUS/SBC-06D2X-U-Externe-Blu-ray-combo/html/product/993845?tk=7&lk=9388,alternate.nl,"€ 78,",placeholder,"
          Blu-ray (6 x), DVD (8 x), CD (24 x) 
        ,
          DVD+R (8 x), DVD-R (8 x), CD-R (24 x) 
        ,
          1x Mini-USB 2.0 
        "
"ASUS SBW-06D2X-U, Externe Blu-ray-brander Zwart (Hoogglans), Retail",/ASUS/SBW-06D2X-U-Externe-Blu-ray-brander/html/product/993843?tk=7&lk=9388,alternate.nl,"€ 102,",placeholder,"
          Blu-ray (6 x), DVD (8 x), CD (24 x) 
        ,
          BD-R (6 x), BD-RE (2 x) 
        ,
          1x Mini-USB 2.0 
        "
"LG BE14NU40, Externe Blu-ray-brander Wit/Zilver, Retail",/LG/BE14NU40-Externe-Blu-ray-brander/html/product/1005900?tk=7&lk=9388,alternate.nl,"€ 119,",placeholder,"
          Blu-ray (12 x), DVD (16 x), CD (48 x) 
        ,
          BD-R (14 x), BD-RE (2 x) 
        ,
          1x USB-B 3.0 
        "
"LG BH16NS40, Blu-ray-brander Zwart, Bulk",/LG/BH16NS40-Blu-ray-brander/html/product/1054529?tk=7&lk=9388,alternate.nl,"€ 74,",placeholder,"
          Blu-ray (12 x), DVD (16 x), CD (48 x) 
        ,
          BD-R (16 x), BD-RE (12 x) 
        ,
          1x SATA/150 
        "
"LG BH16NS40, Blu-ray-brander Zwart, Retail",/LG/BH16NS40-Blu-ray-brander/html/product/1054530?tk=7&lk=9388,alternate.nl,"€ 79,",placeholder,"
          Blu-ray (12 x), DVD (16 x), CD (48 x) 
        ,
          BD-R (16 x), BD-RE (12 x) 
        ,
          1x SATA/150 
        "
"LG BP40NS30, Externe Blu-ray-brander ",/LG/BP40NS30-Externe-Blu-ray-brander/html/product/1142858?tk=7&lk=9388,alternate.nl,"€ 99,",placeholder,"
          Blu-ray (6 x), DVD (8 x), CD (24 x) 
        ,
          BD-R (6 x), BD-RE (2 x) 
        ,
          1x USB-B 2.0 
        "
"Pioneer BDR-209DBK, Blu-ray-brander Zwart, Bulk",/Pioneer/BDR-209DBK-Blu-ray-brander/html/product/1121579?tk=7&lk=9388,alternate.nl,"€ 79,",placeholder,"
          Blu-ray (12 x), DVD (16 x), CD (40 x) 
        ,
          BD-R (16 x), BD-RE (2 x) 
        ,
          1x SATA/150 
        "
"Pioneer BDR-209EBK, Blu-ray-brander Zwart, Bulk",/Pioneer/BDR-209EBK-Blu-ray-brander/html/product/1121581?tk=7&lk=9388,alternate.nl,"€ 84,",placeholder,"
          Blu-ray (12 x), DVD (16 x), CD (40 x) 
        ,
          BD-R (16 x), BD-RE (2 x) 
        ,
          1x SATA/150 
        "
"Pioneer BDR-S09XLT, Blu-ray-brander Zwart",/Pioneer/BDR-S09XLT-Blu-ray-brander/html/product/1128141?tk=7&lk=9388,alternate.nl,"€ 78,",placeholder,"
          Blu-ray (12 x), DVD (16 x), CD (40 x) 
        ,
          BD-R (16 x), BD-RE (2 x) 
        ,
           
        "
"Pioneer BDR-XD05T, Externe Blu-ray-brander Zwart, USB 3.0",/Pioneer/BDR-XD05T-Externe-Blu-ray-brander/html/product/1102868?tk=7&lk=9388,alternate.nl,"€ 119,",placeholder,"
          Blu-ray (6 x), DVD (8 x), CD (24 x) 
        ,
          BD-R (6 x), BD-RE (2 x) 
        ,
          1x USB-B 3.0 
        "
"Pioneer BDR-XS05, Externe Blu-ray-brander Zilver, USB 3.0, Retail",/Pioneer/BDR-XS05-Externe-Blu-ray-brander/html/product/1153585?tk=7&lk=9388,alternate.nl,"€ 124,",placeholder,"
          Blu-ray (6 x), DVD (8 x), CD (24 x) 
        ,
          BD-R (6 x), BD-RE (2 x) 
        ,
          1x USB-B 3.0 
        "
"Samsung SE-506CB/RSBD, Externe Blu-ray-brander Zwart",/Samsung/SE-506CB-RSBD-Externe-Blu-ray-brander/html/product/1130394?tk=7&lk=9388,alternate.nl,"€ 89,",placeholder,"
          Blu-ray (6 x), DVD (8 x), CD (24 x) 
        ,
          BD-R (6 x), BD-RE (2 x) 
        ,
          1x Mini-USB 2.0 
        "
"Samsung SE-506CB/RSWD, Externe Blu-ray-brander Wit",/Samsung/SE-506CB-RSWD-Externe-Blu-ray-brander/html/product/1130392?tk=7&lk=9388,alternate.nl,"€ 94,",placeholder,"
          Blu-ray (6 x), DVD (8 x), CD (24 x) 
        ,
          BD-R (6 x), BD-RE (2 x) 
        ,
          1x Mini-USB 2.0 
        "
"Samsung SN-506BB/BEBE, SlimLine Blu-ray-brander Zwart (Hoogglans)",/Samsung/SN-506BB-BEBE-SlimLine-Blu-ray-brander/html/product/1090409?tk=7&lk=9388,alternate.nl,"€ 66,",placeholder,"
          Blu-ray (6 x), DVD (18 x), CD (24 x) 
        ,
          BD-R (6 x), BD-RE (2 x) 
        ,
           
        "
"SilverStone SOB02, SlimLine Blu-ray-brander Zwart",/SilverStone/SOB02-SlimLine-Blu-ray-brander/html/product/1078841?tk=7&lk=9388,alternate.nl,"€ 149,",placeholder,"
          Blu-ray (6 x), DVD (8 x), CD (24 x) 
        ,
          BD-R (6 x), BD-RE (2 x) 
        ,
           
        "
"Teac BD-W512GSA-100, Blu-ray-brander Zwart",/Teac/BD-W512GSA-100-Blu-ray-brander/html/product/1055610?tk=7&lk=9388,alternate.nl,"€ 84,",placeholder,"
          Blu-ray (8 x), DVD (16 x), CD (48 x) 
        ,
          BD-R (12 x), BD-RE (2 x) 
        ,
          1x SATA/150 
        "
