name,url,webshop,price,image_urls,desc
"AcBel R2IS7651A-G 650W, 650 Watt voeding ",/AcBel/R2IS7651A-G-650W-650-Watt-voeding/html/product/1157201?tk=7&lk=9533,alternate.nl,"€ 454,-",placeholder,"
          650 Watt 
        ,
           
        ,
           
        "
"Aerocool AP-450, 450 Watt voeding Zwart, 1x PCIe",/Aerocool/AP-450-450-Watt-voeding/html/product/1052422?tk=7&lk=9533,alternate.nl,"€ 34,",placeholder,"
          450 Watt 
        ,
          19,2 - 32,1   
        ,
          Actieve PFC 
        "
"Aerocool AP-550, 550 Watt voeding Zwart, 2x PCIe",/Aerocool/AP-550-550-Watt-voeding/html/product/1052421?tk=7&lk=9533,alternate.nl,"€ 39,",placeholder,"
          550 Watt 
        ,
          19,5 - 33,4   
        ,
          Actieve PFC 
        "
"Aerocool AP-650, 650 Watt voeding Zwart, 2x PCIe",/Aerocool/AP-650-650-Watt-voeding/html/product/1052423?tk=7&lk=9533,alternate.nl,"€ 54,",placeholder,"
          650 Watt 
        ,
          19,7 - 35,2   
        ,
          Actieve PFC 
        "
"Aerocool GT-700, 700 Watt voeding Zwart/Rood, 4x PCIe, Retail",/Aerocool/GT-700-700-Watt-voeding/html/product/1016766?tk=7&lk=9533,alternate.nl,"€ 89,",placeholder,"
          700 Watt 
        ,
          16,3 - 29,1   
        ,
          Actieve PFC, 80 PLUS Bronze 
        "
"Aerocool GT-700S, 700 Watt voeding Zwart/Rood, 4x PCIe, Kabel-Management, Retail",/Aerocool/GT-700S-700-Watt-voeding/html/product/1016768?tk=7&lk=9533,alternate.nl,"€ 84,",placeholder,"
          700 Watt 
        ,
          16,3 - 29,1   
        ,
          Actieve PFC, 80 PLUS Bronze 
        "
"Aerocool Strike-X CM EN53884, 500 Watt voeding Zwart/Rood, 2x PCIe, Kabel-Management, Retail",/Aerocool/Strike-X-CM-EN53884-500-Watt-voeding/html/product/1016142?tk=7&lk=9533,alternate.nl,"€ 64,",placeholder,"
          500 Watt 
        ,
          16 - 27,8   
        ,
          Actieve PFC, 80 PLUS Bronze 
        "
"Aerocool Strike-X CM EN53891, 600 Watt voeding Zwart/Rood, 2x PCIe, Kabel-Management, Retail",/Aerocool/Strike-X-CM-EN53891-600-Watt-voeding/html/product/1016138?tk=7&lk=9533,alternate.nl,"€ 69,",placeholder,"
          600 Watt 
        ,
          16,3 - 28   
        ,
          Actieve PFC, 80 PLUS Bronze 
        "
"Aerocool Strike-X EN53648, 500 Watt voeding Zwart/Rood, 2x PCIe, Retail",/Aerocool/Strike-X-EN53648-500-Watt-voeding/html/product/883280?tk=7&lk=9533,alternate.nl,"€ 54,",placeholder,"
          500 Watt 
        ,
          16 - 27,8   
        ,
          Actieve PFC, 80 PLUS Bronze 
        "
"Aerocool Strike-X EN53655, 600 Watt voeding Zwart/Rood, 2x PCIe, Retail",/Aerocool/Strike-X-EN53655-600-Watt-voeding/html/product/883282?tk=7&lk=9533,alternate.nl,"€ 64,",placeholder,"
          600 Watt 
        ,
          16,3 - 28   
        ,
          Actieve PFC, 80 PLUS Bronze 
        "
"Aerocool Strike-X EN53754, 800 Watt voeding Zwart/Rood, 4x PCIe, Kabel-Management, Retail",/Aerocool/Strike-X-EN53754-800-Watt-voeding/html/product/883284?tk=7&lk=9533,alternate.nl,"€ 94,",placeholder,"
          800 Watt 
        ,
          17 - 30   
        ,
          Actieve PFC, 80 PLUS Silver 
        "
"Aerocool Strike-X EN53761, 1100 Watt voeding Zwart/Rood, 6x PCIe, Kabel-Management, Retail",/Aerocool/Strike-X-EN53761-1100-Watt-voeding/html/product/883286?tk=7&lk=9533,alternate.nl,"€ 129,",placeholder,"
          1100 Watt 
        ,
          17 - 35   
        ,
          Actieve PFC, 80 PLUS Gold 
        "
