name,url,webshop,price,image_urls,desc
"ADATA 1 GB DDR-333, geheugen AD1U333A1G25-R, Desktop Premier",/ADATA/1-GB-DDR-333-geheugen/html/product/1131149?tk=7&lk=9335,alternate.nl,"€ 27,",placeholder,"
          1  GB 
        ,
          CL2.5 
        ,
          1 stuk(s) 
        "
"ADATA 1 GB DDR-400, geheugen AD1U400A1G3-R, Desktop Premier",/ADATA/1-GB-DDR-400-geheugen/html/product/1131152?tk=7&lk=9335,alternate.nl,"€ 27,",placeholder,"
          1  GB 
        ,
          CL3 
        ,
          1 stuk(s) 
        "
"ADATA 2 GB DDR-400 Kit, geheugen AD1U400A1G3-2, Premier",/ADATA/2-GB-DDR-400-Kit-geheugen/html/product/34009?tk=7&lk=9335,alternate.nl,"€ 49,",placeholder,"
          2  GB 
        ,
          CL3 
        ,
          2 stuk(s) 
        "
"ADATA 1 GB DDR2-800, geheugen AD2S800B1G6-R, Notebook Premier",/ADATA/1-GB-DDR2-800-geheugen/html/product/1131931?tk=7&lk=9335,alternate.nl,"€ 19,",placeholder,"
          1  GB 
        ,
          CL6 
        ,
          1 stuk(s) 
        "
"Corsair 1 GB DDR-333, geheugen VS1GB333",/Corsair/1-GB-DDR-333-geheugen/html/product/731572?tk=7&lk=9335,alternate.nl,"€ 31,",placeholder,"
          1  GB 
        ,
          CL2.5 3-3-7 
        ,
          1 stuk(s) 
        "
"Corsair 1 GB DDR-333, geheugen VS1GSDS333, ValueSelect, Lite Retail",/Corsair/1-GB-DDR-333-geheugen/html/product/33796?tk=7&lk=9335,alternate.nl,"€ 38,",placeholder,"
          1  GB 
        ,
          CL2.5 3-3-7 
        ,
          1 stuk(s) 
        "
"Corsair 1 GB DDR-400, geheugen VS1GSDS400, ValueSelect, Lite Retail",/Corsair/1-GB-DDR-400-geheugen/html/product/33797?tk=7&lk=9335,alternate.nl,"€ 38,",placeholder,"
          1  GB 
        ,
          CL2.5 3-3-7 
        ,
          1 stuk(s) 
        "
"Corsair 1 GB DDR400, geheugen VS1GB400C3",/Corsair/1-GB-DDR400-geheugen/html/product/33272?tk=7&lk=9335,alternate.nl,"€ 31,",placeholder,"
          1  GB 
        ,
          CL3 3-3-8 
        ,
          1 stuk(s) 
        "
"Corsair 1 GB ValueSelect, geheugen VS1GBKIT400, Retail",/Corsair/1-GB-ValueSelect-geheugen/html/product/33275?tk=7&lk=9335,alternate.nl,"€ 33,",placeholder,"
          1  GB 
        ,
          CL3 
        ,
          2 stuk(s) 
        "
"Corsair 2 GB Kit DDR-400, geheugen VS2GBKIT400C3",/Corsair/2-GB-Kit-DDR-400-geheugen/html/product/33956?tk=7&lk=9335,alternate.nl,"€ 61,",placeholder,"
          2  GB 
        ,
          CL3 3-3-8 
        ,
          2 stuk(s) 
        "
"Corsair ValueSelect 512 MB DDR-333, geheugen ",/Corsair-ValueSelect/512-MB-DDR-333-geheugen/html/product/893422?tk=7&lk=9335,alternate.nl,"€ 18,",placeholder,"
          512  MB 
        ,
          CL2.5 
        ,
          1 stuk(s) 
        "
"Corsair ValueSelect 512 MB DDR-400, geheugen VS512SDS400, Retail",/Corsair-ValueSelect/512-MB-DDR-400-geheugen/html/product/893428?tk=7&lk=9335,alternate.nl,"€ 18,",placeholder,"
          512  MB 
        ,
          CL3 
        ,
          1 stuk(s) 
        "
"Crucial 1 GB DDR-333, geheugen CT12864X335",/Crucial/1-GB-DDR-333-geheugen/html/product/33802?tk=7&lk=9335,alternate.nl,"€ 30,",placeholder,"
          1  GB 
        ,
          CL2.5 
        ,
          1 stuk(s) 
        "
"Crucial 1 GB DDR-333, geheugen CT12864Z335",/Crucial/1-GB-DDR-333-geheugen/html/product/33338?tk=7&lk=9335,alternate.nl,"€ 27,",placeholder,"
          1  GB 
        ,
          CL2.5 
        ,
          1 stuk(s) 
        "
"Crucial 1 GB DDR-400, geheugen CT12864X40B",/Crucial/1-GB-DDR-400-geheugen/html/product/33803?tk=7&lk=9335,alternate.nl,"€ 30,",placeholder,"
          1  GB 
        ,
          CL3 
        ,
          1 stuk(s) 
        "
"Crucial 1 GB DDR-400, geheugen CT12864Z40B",/Crucial/1-GB-DDR-400-geheugen/html/product/33339?tk=7&lk=9335,alternate.nl,"€ 27,",placeholder,"
          1  GB 
        ,
          CL3 
        ,
          1 stuk(s) 
        "
"Crucial 1 GB ECC Registered DDR-333, geheugen CT12872Y335, Retail",/Crucial/1-GB-ECC-Registered-DDR-333-geheugen/html/product/1019430?tk=7&lk=9335,alternate.nl,"€ 74,",placeholder,"
          1  GB 
        ,
          CL2.5 
        ,
          1 stuk(s) 
        "
"Mushkin 1 GB DDR-266, geheugen 990924",/Mushkin/1-GB-DDR-266-geheugen/html/product/920500?tk=7&lk=9335,alternate.nl,"€ 21,",placeholder,"
          1  GB 
        ,
          CL2.5 3-3-6 
        ,
          1 stuk(s) 
        "
"Mushkin 1 GB DDR-333, geheugen 990980, Essentials-Serie, Lite Retail",/Mushkin/1-GB-DDR-333-geheugen/html/product/793136?tk=7&lk=9335,alternate.nl,"€ 17,",placeholder,"
          1  GB 
        ,
          CL2.5 3-3-7 
        ,
          1 stuk(s) 
        "
"Mushkin 1 GB DDR-333, geheugen 991304, Essentials-Serie, Lite Retail",/Mushkin/1-GB-DDR-333-geheugen/html/product/791942?tk=7&lk=9335,alternate.nl,"€ 24,",placeholder,"
          1  GB 
        ,
          CL2.5 3-3-7 
        ,
          1 stuk(s) 
        "
"Mushkin 1 GB DDR-333, geheugen 991753, Silverline, Lite Retail",/Mushkin/1-GB-DDR-333-geheugen/html/product/793266?tk=7&lk=9335,alternate.nl,"€ 18,",placeholder,"
          1  GB 
        ,
          CL2.5 3-3-7 
        ,
          1 stuk(s) 
        "
"Mushkin 1 GB DDR-400, geheugen 991130, Essentials-Serie, Lite Retail",/Mushkin/1-GB-DDR-400-geheugen/html/product/791936?tk=7&lk=9335,alternate.nl,"€ 18,",placeholder,"
          1  GB 
        ,
          CL3 3-3-8 
        ,
          1 stuk(s) 
        "
"Mushkin 1 GB DDR-400, geheugen 991307, Essentials-Serie, Lite Retail",/Mushkin/1-GB-DDR-400-geheugen/html/product/791944?tk=7&lk=9335,alternate.nl,"€ 21,",placeholder,"
          1  GB 
        ,
          CL3 3-3-8 
        ,
          1 stuk(s) 
        "
"Mushkin 1 GB DDR-400, geheugen 991451",/Mushkin/1-GB-DDR-400-geheugen/html/product/1144635?tk=7&lk=9335,alternate.nl,"€ 26,",placeholder,"
          1  GB 
        ,
          CL3 3-3-8 
        ,
          1 stuk(s) 
        "
"Mushkin 1 GB DDR-400, geheugen 991754, Silverline-Serie, Lite Retail",/Mushkin/1-GB-DDR-400-geheugen/html/product/791938?tk=7&lk=9335,alternate.nl,"€ 20,",placeholder,"
          1  GB 
        ,
          CL3 3-3-8 
        ,
          1 stuk(s) 
        "
"Mushkin 2 GB DDR-400 Kit, geheugen 991373, Essentials-Serie, Lite Retail",/Mushkin/2-GB-DDR-400-Kit-geheugen/html/product/791946?tk=7&lk=9335,alternate.nl,"€ 30,",placeholder,"
          2  GB 
        ,
          CL3 3-3-8 
        ,
          2 stuk(s) 
        "
"Mushkin 2 GB DDR-400 Kit, geheugen 996753, Silverline",/Mushkin/2-GB-DDR-400-Kit-geheugen/html/product/1094793?tk=7&lk=9335,alternate.nl,"€ 35,",placeholder,"
          2  GB 
        ,
          CL2.5 3-3-7 
        ,
          2 stuk(s) 
        "
"Mushkin 2 GB DDR-400 Kit, geheugen 996754, Silverline-Serie, Lite Retail",/Mushkin/2-GB-DDR-400-Kit-geheugen/html/product/791948?tk=7&lk=9335,alternate.nl,"€ 36,",placeholder,"
          2  GB 
        ,
          CL3 3-3-8 
        ,
          2 stuk(s) 
        "
"Mushkin 256 MB DDR-266, geheugen 991443",/Mushkin/256-MB-DDR-266-geheugen/html/product/1144628?tk=7&lk=9335,alternate.nl,"€ 12,",placeholder,"
          256  MB 
        ,
          CL2.5 3-3-6 
        ,
          1 stuk(s) 
        "
"Mushkin 256 MB DDR-333, geheugen 991446",/Mushkin/256-MB-DDR-333-geheugen/html/product/1144636?tk=7&lk=9335,alternate.nl,"€ 12,",placeholder,"
          256  MB 
        ,
          CL2.5 3-3-7 
        ,
          1 stuk(s) 
        "
"Mushkin 256 MB DDR-400, geheugen 991449",/Mushkin/256-MB-DDR-400-geheugen/html/product/1144629?tk=7&lk=9335,alternate.nl,"€ 12,",placeholder,"
          256  MB 
        ,
          CL3 3-3-8 
        ,
          1 stuk(s) 
        "
"Mushkin 256 MB ECC DDR-266, geheugen 990773",/Mushkin/256-MB-ECC-DDR-266-geheugen/html/product/1144693?tk=7&lk=9335,alternate.nl,"€ 29,",placeholder,"
          256  MB 
        ,
          CL2.5 3-3-6 
        ,
          1 stuk(s) 
        "
"Mushkin 256 MB ECC DDR-266, geheugen 991295",/Mushkin/256-MB-ECC-DDR-266-geheugen/html/product/1144659?tk=7&lk=9335,alternate.nl,"€ 26,",placeholder,"
          256  MB 
        ,
          CL2.5 3-3-6 
        ,
          1 stuk(s) 
        "
"Mushkin 256 MB ECC DDR-266, geheugen Proline-Serie, 991848",/Mushkin/256-MB-ECC-DDR-266-geheugen/html/product/1144710?tk=7&lk=9335,alternate.nl,"€ 29,",placeholder,"
          256  MB 
        ,
          CL2.5 
        ,
          1 stuk(s) 
        "
"Mushkin 256 MB ECC DDR-333, geheugen 991021",/Mushkin/256-MB-ECC-DDR-333-geheugen/html/product/1144711?tk=7&lk=9335,alternate.nl,"€ 29,",placeholder,"
          256  MB 
        ,
          CL2.5 3-3-7 
        ,
          1 stuk(s) 
        "
