name,url,webshop,price,image_urls,desc
"ADATA 16 GB DDR3-1600 Kit, geheugen AD3S1600W8G11-2, Notebook Premier",/ADATA/16-GB-DDR3-1600-Kit-geheugen/html/product/1006378?tk=7&lk=9326,alternate.nl,"€ 149,",placeholder,"
          16  GB 
        ,
          CL11 
        ,
          2 stuk(s) 
        "
"ADATA 16 GB DDR3-1600 Kit, geheugen AX3U1600W8G11-DD, XPG V1.0, Lite Retail",/ADATA/16-GB-DDR3-1600-Kit-geheugen/html/product/1110776?tk=7&lk=9326,alternate.nl,"€ 152,",placeholder,"
          16  GB 
        ,
          CL11 11-11-28 
        ,
          2 stuk(s) 
        "
"ADATA 16 GB DDR3-1600 Kit, geheugen Goud, AX3U1600W8G9-DGV",/ADATA/16-GB-DDR3-1600-Kit-geheugen/html/product/1090280?tk=7&lk=9326,alternate.nl,"€ 157,",placeholder,"
          16  GB 
        ,
          CL9 9-9-24 
        ,
          2 stuk(s) 
        "
"ADATA 16 GB DDR3-1600 Kit, geheugen Titanium, AX3U1600W8G9-DMV",/ADATA/16-GB-DDR3-1600-Kit-geheugen/html/product/1090281?tk=7&lk=9326,alternate.nl,"€ 157,",placeholder,"
          16  GB 
        ,
          CL9 9-9-24 
        ,
          2 stuk(s) 
        "
"ADATA 16 GB DDR3-1600 Kit, geheugen Zwart, AX3U1600W8G9-DB",/ADATA/16-GB-DDR3-1600-Kit-geheugen/html/product/1110779?tk=7&lk=9326,alternate.nl,"€ 152,",placeholder,"
          16  GB 
        ,
          CL9 9-9-24 
        ,
          2 stuk(s) 
        "
"ADATA 16 GB DDR3-1600 Kit, geheugen Zwart, AX3U1600W8G9-DBV-RG, XPG V3",/ADATA/16-GB-DDR3-1600-Kit-geheugen/html/product/1152629?tk=7&lk=9326,alternate.nl,"€ 159,",placeholder,"
          16  GB 
        ,
          CL9 9-9-24 
        ,
          2 stuk(s) 
        "
"ADATA 16 GB DDR3-2400 Kit, geheugen Goud, AX3U2400W8G11-DGV",/ADATA/16-GB-DDR3-2400-Kit-geheugen/html/product/1090293?tk=7&lk=9326,alternate.nl,"€ 182,",placeholder,"
          16  GB 
        ,
          CL11 13-13-35 
        ,
          2 stuk(s) 
        "
"ADATA 16 GB DDR3-2400 Kit, geheugen Titanium, AX3U2400W8G11-DMV",/ADATA/16-GB-DDR3-2400-Kit-geheugen/html/product/1090294?tk=7&lk=9326,alternate.nl,"€ 177,",placeholder,"
          16  GB 
        ,
          CL11 13-13-35 
        ,
          2 stuk(s) 
        "
"ADATA 16 GB DDR3-2400 Kit, geheugen Zwart, AX3U2400W8G11-DBV-RG, XPG V3",/ADATA/16-GB-DDR3-2400-Kit-geheugen/html/product/1152640?tk=7&lk=9326,alternate.nl,"€ 187,",placeholder,"
          16  GB 
        ,
          CL11 13-13-35 
        ,
          2 stuk(s) 
        "
"ADATA 16 GB DDR3-2600 Kit, geheugen Goud, AX3U2600W8G11-DGV, XPG V2 series, XMP",/ADATA/16-GB-DDR3-2600-Kit-geheugen/html/product/1090309?tk=7&lk=9326,alternate.nl,"€ 132,",placeholder,"
          16  GB 
        ,
          CL11 13-13-35 
        ,
          2 stuk(s) 
        "
