name,url,webshop,price,image_urls,desc
"Mushkin 1 GB SDRAM Registered Kit, geheugen 995590",/Mushkin/1-GB-SDRAM-Registered-Kit-geheugen/html/product/1144610?tk=7&lk=9324,alternate.nl,"€ 149,",placeholder,"
          1  GB 
        ,
          CL3 3-3-6 
        ,
          2 stuk(s) 
        "
"Mushkin 1 GB SDRAM Registered, geheugen 990589",/Mushkin/1-GB-SDRAM-Registered-geheugen/html/product/1144609?tk=7&lk=9324,alternate.nl,"€ 89,",placeholder,"
          1  GB 
        ,
          CL3 3-3-6 
        ,
          1 stuk(s) 
        "
"Mushkin 128 MB SDRAM ECC, geheugen 990518",/Mushkin/128-MB-SDRAM-ECC-geheugen/html/product/1144600?tk=7&lk=9324,alternate.nl,"€ 19,",placeholder,"
          128  MB 
        ,
          CL3 3-3-6 
        ,
          1 stuk(s) 
        "
"Mushkin 128 MB SDRAM ECC, geheugen 991431, Proline",/Mushkin/128-MB-SDRAM-ECC-geheugen/html/product/1144594?tk=7&lk=9324,alternate.nl,"€ 19,",placeholder,"
          128  MB 
        ,
          CL2 2-2-5 
        ,
          1 stuk(s) 
        "
"Mushkin 2 GB SDRAM Registered Kit, geheugen 993590",/Mushkin/2-GB-SDRAM-Registered-Kit-geheugen/html/product/1144612?tk=7&lk=9324,alternate.nl,"€ 284,-",placeholder,"
          2  GB 
        ,
          CL3 3-3-6 
        ,
          2 stuk(s) 
        "
"Mushkin 2 GB SDRAM Registered Kit, geheugen 995589",/Mushkin/2-GB-SDRAM-Registered-Kit-geheugen/html/product/1144611?tk=7&lk=9324,alternate.nl,"€ 192,",placeholder,"
          2  GB 
        ,
          CL3 3-3-6 
        ,
          2 stuk(s) 
        "
"Mushkin 256 MB SDRAM ECC, geheugen 990108",/Mushkin/256-MB-SDRAM-ECC-geheugen/html/product/1144601?tk=7&lk=9324,alternate.nl,"€ 26,",placeholder,"
          256  MB 
        ,
          CL2 2-2-5 
        ,
          1 stuk(s) 
        "
"Mushkin 256 MB SDRAM Registered, geheugen 990588",/Mushkin/256-MB-SDRAM-Registered-geheugen/html/product/1144605?tk=7&lk=9324,alternate.nl,"€ 34,",placeholder,"
          256  MB 
        ,
          CL3 3-3-6 
        ,
          1 stuk(s) 
        "
"Mushkin 256 MB SDRAM Registered, geheugen 990591",/Mushkin/256-MB-SDRAM-Registered-geheugen/html/product/1144604?tk=7&lk=9324,alternate.nl,"€ 34,",placeholder,"
          256  MB 
        ,
          CL2 2-2-5 
        ,
          1 stuk(s) 
        "
"Mushkin 256 MB SDRAM, geheugen 990614, Essentials, Lite Retail",/Mushkin/256-MB-SDRAM-geheugen/html/product/791966?tk=7&lk=9324,alternate.nl,"€ 18,",placeholder,"
          256  MB 
        ,
          CL3 3-3-6 
        ,
          1 stuk(s) 
        "
"Mushkin 256 MB SDRAM, geheugen 990617, Essentials, Lite Retail",/Mushkin/256-MB-SDRAM-geheugen/html/product/791968?tk=7&lk=9324,alternate.nl,"€ 20,",placeholder,"
          256  MB 
        ,
          CL3 3-3-6 
        ,
          1 stuk(s) 
        "
"Mushkin 512 MB SDRAM ECC, geheugen 990747",/Mushkin/512-MB-SDRAM-ECC-geheugen/html/product/1144603?tk=7&lk=9324,alternate.nl,"€ 47,",placeholder,"
          512  MB 
        ,
          CL3 3-3-6 
        ,
          1 stuk(s) 
        "
"Mushkin 512 MB SDRAM Registered Kit, geheugen 995588",/Mushkin/512-MB-SDRAM-Registered-Kit-geheugen/html/product/1144606?tk=7&lk=9324,alternate.nl,"€ 87,",placeholder,"
          512  MB 
        ,
          CL3 3-3-6 
        ,
          2 stuk(s) 
        "
"Mushkin 512 MB SDRAM Registered, geheugen 990590",/Mushkin/512-MB-SDRAM-Registered-geheugen/html/product/1144608?tk=7&lk=9324,alternate.nl,"€ 64,",placeholder,"
          512  MB 
        ,
          CL3 3-3-6 
        ,
          1 stuk(s) 
        "
"Mushkin 512 MB SDRAM Registered, geheugen 990592",/Mushkin/512-MB-SDRAM-Registered-geheugen/html/product/1144607?tk=7&lk=9324,alternate.nl,"€ 64,",placeholder,"
          512  MB 
        ,
          CL2 2-2-5 
        ,
          1 stuk(s) 
        "
"Mushkin 512 MB SDRAM, geheugen 990703, Essentials, Lite Retail",/Mushkin/512-MB-SDRAM-geheugen/html/product/791972?tk=7&lk=9324,alternate.nl,"€ 29,",placeholder,"
          512  MB 
        ,
          CL3 3-3-6 
        ,
          1 stuk(s) 
        "
