name,url,webshop,price,image_urls,desc
"ASUS Essence STX II 7.1 High-Fidelity Audio Card, geluidskaart Zwart",/ASUS/Essence-STX-II-7-1-High-Fidelity-Audio-Card-geluidskaart/html/product/1140681?tk=7&lk=9517,alternate.nl,"€ 274,-",placeholder,"
          false 
        ,
          ASUS AV100 
        ,
          1x Line-In, 9x Line-Out, 1x Digital-Out (Coaxiaal) 
        "
"ASUS Essence STX II High-Fidelity Audio Card, geluidskaart Zwart",/ASUS/Essence-STX-II-High-Fidelity-Audio-Card-geluidskaart/html/product/1140680?tk=7&lk=9517,alternate.nl,"€ 219,",placeholder,"
          false 
        ,
          ASUS AV100 
        ,
          1x Line-In, 3x Line-Out, 1x Digital-Out (Coaxiaal) 
        "
"ASUS ROG Xonar Phoebus Solo, geluidskaart Zwart",/ASUS/ROG-Xonar-Phoebus-Solo-geluidskaart/html/product/1081447?tk=7&lk=9517,alternate.nl,"€ 117,",placeholder,"
          false 
        ,
          C-Media CMI8888DHT 
        ,
          1x Line-In, 5x Line-Out, 1x Digital-Out (optische) 
        "
"ASUS ROG Xonar Phoebus, geluidskaart incl. externe headset control box, Retail",/ASUS/ROG-Xonar-Phoebus-geluidskaart/html/product/1006066?tk=7&lk=9517,alternate.nl,"€ 157,",placeholder,"
          false 
        ,
          C-Media CMI8888DHT 
        ,
          1x Microfoon ingangen, 1x Line-In, 5x Line-Out, 1x Digital-Out (Jack), 1x Digital-Out (optische) 
        "
"ASUS Xonar D-KARA, geluidskaart ",/ASUS/Xonar-D-KARA-geluidskaart/html/product/1049116?tk=7&lk=9517,alternate.nl,"€ 56,",placeholder,"
          false 
        ,
          C-Media CMI8786 
        ,
          1x Microfoon ingangen, 1x Line-In, 3x Line-Out, 1x Digital-Out (optische) 
        "
"ASUS Xonar D1, geluidskaart 7.1 sound, Retail",/ASUS/Xonar-D1-geluidskaart/html/product/45560?tk=7&lk=9517,alternate.nl,"€ 61,",placeholder,"
          false 
        ,
          AV100 
        ,
          1x Line-In, 4x Line-Out, 1x Digital-Out (optische) 
        "
"ASUS Xonar D2 7.1, geluidskaart 7.1 Sound, Retail",/ASUS/Xonar-D2-7-1-geluidskaart/html/product/45555?tk=7&lk=9517,alternate.nl,"€ 127,",placeholder,"
          false 
        ,
           
        ,
          1x Microfoon ingangen, 1x Line-In, 4x Line-Out 
        "
"ASUS Xonar D2X/XDT, geluidskaart 7.1 Sound, Retail",/ASUS/Xonar-D2X-XDT-geluidskaart/html/product/45558?tk=7&lk=9517,alternate.nl,"€ 144,",placeholder,"
          false 
        ,
          AV200 
        ,
          1x Microfoon ingangen, 1x Line-In, 4x Line-Out, 1x Digital-In (Coaxiaal), 1x Digital-Out (Coaxiaal), 1x MIDI poorten 
        "
"ASUS Xonar DG, geluidskaart 5.1 Sound, Low Profile, Retail",/ASUS/Xonar-DG-geluidskaart/html/product/574326?tk=7&lk=9517,alternate.nl,"€ 28,",placeholder,"
          false 
        ,
          C-Media CMI8786 
        ,
          1x Microfoon ingangen, 3x Line-Out, 1x Digital-Out (optische) 
        "
"ASUS Xonar DGX, geluidskaart 5.1 Sound, Low Profile, Retail",/ASUS/Xonar-DGX-geluidskaart/html/product/1040282?tk=7&lk=9517,alternate.nl,"€ 34,",placeholder,"
          false 
        ,
          C-Media CMI8786 
        ,
          1x Microfoon ingangen, 3x Line-Out, 1x Digital-Out (optische) 
        "
