name,url,webshop,price,image_urls,desc
"ADATA Premier Pro SP900 ASP900NS34-128GM-C, 128 GB SSD MLC, M.2 2242, Trim",/ADATA/Premier-Pro-SP900-ASP900NS34-128GM-C-128-GB-SSD/html/product/1146829?tk=7&lk=12801,alternate.nl,"€ 73,",placeholder,"
          128 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 530 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP900 ASP900NS34-256GM-C, 256 GB SSD MLC, M.2 2242, Trim",/ADATA/Premier-Pro-SP900-ASP900NS34-256GM-C-256-GB-SSD/html/product/1146831?tk=7&lk=12801,alternate.nl,"€ 127,",placeholder,"
          256 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 530 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP900 ASP900NS38-128GM-C, 128 GB SSD MLC, M.2 2280, Trim",/ADATA/Premier-Pro-SP900-ASP900NS38-128GM-C-128-GB-SSD/html/product/1146832?tk=7&lk=12801,alternate.nl,"€ 74,",placeholder,"
          128 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 530 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP900 ASP900NS38-256GM-C, 256 GB SSD MLC, M.2 2280, Trim",/ADATA/Premier-Pro-SP900-ASP900NS38-256GM-C-256-GB-SSD/html/product/1146834?tk=7&lk=12801,alternate.nl,"€ 127,",placeholder,"
          256 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 530 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP900 ASP900NS38-512GM-C, 512 GB SSD MLC, M.2 2280, Trim",/ADATA/Premier-Pro-SP900-ASP900NS38-512GM-C-512-GB-SSD/html/product/1146835?tk=7&lk=12801,alternate.nl,"€ 254,-",placeholder,"
          512 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 530 MB/s 
        ,
          € 0,, 
        "
"Crucial M500 CT120M500SSD4, 120 GB SSD M.2, MLC, TRIM",/Crucial/M500-CT120M500SSD4-120-GB-SSD/html/product/1061754?tk=7&lk=12801,alternate.nl,"€ 61,",placeholder,"
          120 GB 
        ,
          Lezen: 500 MB/s, Schrijven: 130 MB/s 
        ,
          € 0,, 
        "
"Crucial M500 CT240M500SSD4, 240 GB SSD M.2, MLC, TRIM",/Crucial/M500-CT240M500SSD4-240-GB-SSD/html/product/1061755?tk=7&lk=12801,alternate.nl,"€ 97,",placeholder,"
          240 GB 
        ,
          Lezen: 500 MB/s, Schrijven: 250 MB/s 
        ,
          € 0,, 
        "
"Crucial M500 CT480M500SSD4, 480 GB SSD M.2, MLC, TRIM",/Crucial/M500-CT480M500SSD4-480-GB-SSD/html/product/1061756?tk=7&lk=12801,alternate.nl,"€ 199,",placeholder,"
          480 GB 
        ,
          Lezen: 500 MB/s, Schrijven: 400 MB/s 
        ,
          € 0,, 
        "
"Crucial M550 CT128M550SSD4, 128 GB SSD M.2 Type 2280, MLC, Trim",/Crucial/M550-CT128M550SSD4-128-GB-SSD/html/product/1129336?tk=7&lk=12801,alternate.nl,"€ 81,",placeholder,"
          128 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 350 MB/s 
        ,
          € 0,, 
        "
"Crucial M550 CT256M550SSD4, 256 GB SSD M.2 Type 2280",/Crucial/M550-CT256M550SSD4-256-GB-SSD/html/product/1129340?tk=7&lk=12801,alternate.nl,"€ 132,",placeholder,"
          256 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 500 MB/s 
        ,
          € 0,, 
        "
"Crucial M550 CT512M550SSD4, 512 GB SSD M.2 Type 2280",/Crucial/M550-CT512M550SSD4-512-GB-SSD/html/product/1129342?tk=7&lk=12801,alternate.nl,"€ 224,",placeholder,"
          512 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 500 MB/s 
        ,
          € 0,, 
        "
"Kingston SSDNow M.2 SM2280S3/120G, 120 GB SSD M.2 Type 2280, MLC, TRIM",/Kingston/SSDNow-M-2-SM2280S3-120G-120-GB-SSD/html/product/1146038?tk=7&lk=12801,alternate.nl,"€ 74,",placeholder,"
          120 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 520 MB/s 
        ,
          € 0,, 
        "
"Kingston SSDNow M.2 SM2280S3/240G, 240 GB SSD M.2 Type 2280, MLC, TRIM",/Kingston/SSDNow-M-2-SM2280S3-240G-240-GB-SSD/html/product/1153566?tk=7&lk=12801,alternate.nl,"€ 149,",placeholder,"
          240 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 520 MB/s 
        ,
          € 0,, 
        "
"Plextor M6e M.2 PX-G128M6e, 128 GB SSD M.2, MLC, Trim",/Plextor/M6e-M-2-PX-G128M6e-128-GB-SSD/html/product/1147078?tk=7&lk=12801,alternate.nl,"€ 109,",placeholder,"
          128 GB 
        ,
          Lezen: 770 MB/s, Schrijven: 335 MB/s 
        ,
          € 0,, 
        "
"Plextor M6e M.2 PX-G256M6e, 256 GB SSD M.2, MLC, Trim",/Plextor/M6e-M-2-PX-G256M6e-256-GB-SSD/html/product/1147079?tk=7&lk=12801,alternate.nl,"€ 197,",placeholder,"
          256 GB 
        ,
          Lezen: 770 MB/s, Schrijven: 580 MB/s 
        ,
          € 0,, 
        "
"Plextor M6e M.2 PX-G512M6e, 512 GB SSD M.2, MLC, Trim",/Plextor/M6e-M-2-PX-G512M6e-512-GB-SSD/html/product/1147080?tk=7&lk=12801,alternate.nl,"€ 374,-",placeholder,"
          512 GB 
        ,
          Lezen: 770 MB/s, Schrijven: 625 MB/s 
        ,
          € 0,, 
        "
"Plextor M6G-2242, 128 GB SSD PX-128M6G-2242",/Plextor/M6G-2242-128-GB-SSD/html/product/1147072?tk=7&lk=12801,alternate.nl,"€ 76,",placeholder,"
          128 GB 
        ,
          Lezen: 520 MB/s, Schrijven: 210 MB/s 
        ,
          € 0,, 
        "
"Plextor M6G-2242, 64 GB SSD PX-64M6G-2242",/Plextor/M6G-2242-64-GB-SSD/html/product/1147071?tk=7&lk=12801,alternate.nl,"€ 53,",placeholder,"
          64 GB 
        ,
          Lezen: 520 MB/s, Schrijven: 160 MB/s 
        ,
          € 0,, 
        "
