name,url,webshop,price,image_urls,desc
"ADATA Premier Pro SP310 ASP310S3-128GM-C, 128 GB SSD mSATA, MLC, TRIM",/ADATA/Premier-Pro-SP310-ASP310S3-128GM-C-128-GB-SSD/html/product/1092867?tk=7&lk=9599,alternate.nl,"€ 69,",placeholder,"
          128 GB 
        ,
          Lezen: 410 MB/s, Schrijven: 180 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP310 ASP310S3-32GM-C, 32 GB SSD mSATA, MLC, TRIM",/ADATA/Premier-Pro-SP310-ASP310S3-32GM-C-32-GB-SSD/html/product/1092865?tk=7&lk=9599,alternate.nl,"€ 32,",placeholder,"
          32 GB 
        ,
          Lezen: 285 MB/s, Schrijven: 50 MB/s 
        ,
          € 1,, 
        "
"ADATA Premier Pro SP310 ASP310S3-64GM-C, 64 GB SSD mSATA, MLC, TRIM",/ADATA/Premier-Pro-SP310-ASP310S3-64GM-C-64-GB-SSD/html/product/1092866?tk=7&lk=9599,alternate.nl,"€ 42,",placeholder,"
          64 GB 
        ,
          Lezen: 440 MB/s, Schrijven: 100 MB/s 
        ,
          € 0,, 
        "
"ADATA SX300 ASX300S3-64GM-C, 64 GB SSD mSATA, SX300, MLC, Bulk",/ADATA/SX300-ASX300S3-64GM-C-64-GB-SSD/html/product/1016713?tk=7&lk=9599,alternate.nl,"€ 51,",placeholder,"
          64 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 505 MB/s 
        ,
          € 0,, 
        "
"ADATA SX300 Serie ASX300S3-128GM-C, 128 GB SSD MLC, Bulk",/ADATA/SX300-Serie-ASX300S3-128GM-C-128-GB-SSD/html/product/1016715?tk=7&lk=9599,alternate.nl,"€ 73,",placeholder,"
          128 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 505 MB/s 
        ,
          € 0,, 
        "
"ADATA SX300 Serie ASX300S3-256GM-C, 256 GB SSD MLC, Bulk",/ADATA/SX300-Serie-ASX300S3-256GM-C-256-GB-SSD/html/product/1016714?tk=7&lk=9599,alternate.nl,"€ 137,",placeholder,"
          256 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 505 MB/s 
        ,
          € 0,, 
        "
"Crucial M500 Serie CT120M500SSD3, 120 GB SSD MLC, TRIM",/Crucial/M500-Serie-CT120M500SSD3-120-GB-SSD/html/product/1061750?tk=7&lk=9599,alternate.nl,"€ 61,",placeholder,"
          120 GB 
        ,
          Lezen: 500 MB/s, Schrijven: 130 MB/s 
        ,
          € 0,, 
        "
"Crucial M500 Serie CT240M500SSD3, 240 GB SSD MLC, TRIM",/Crucial/M500-Serie-CT240M500SSD3-240-GB-SSD/html/product/1061751?tk=7&lk=9599,alternate.nl,"€ 98,",placeholder,"
          240 GB 
        ,
          Lezen: 500 MB/s, Schrijven: 250 MB/s 
        ,
          € 0,, 
        "
"Crucial M500 Serie CT480M500SSD3, 480 GB SSD MLC, TRIM",/Crucial/M500-Serie-CT480M500SSD3-480-GB-SSD/html/product/1061752?tk=7&lk=9599,alternate.nl,"€ 199,",placeholder,"
          480 GB 
        ,
          Lezen: 500 MB/s, Schrijven: 400 MB/s 
        ,
          € 0,, 
        "
"Crucial M550 CT128M550SSD3, 128 GB SSD ",/Crucial/M550-CT128M550SSD3-128-GB-SSD/html/product/1129334?tk=7&lk=9599,alternate.nl,"€ 84,",placeholder,"
          128 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 350 MB/s 
        ,
          € 0,, 
        "
"Crucial M550 CT256M550SSD3, 256 GB SSD ",/Crucial/M550-CT256M550SSD3-256-GB-SSD/html/product/1129335?tk=7&lk=9599,alternate.nl,"€ 132,",placeholder,"
          256 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 500 MB/s 
        ,
          € 0,, 
        "
"Crucial M550 CT512M550SSD3, 512 GB SSD ",/Crucial/M550-CT512M550SSD3-512-GB-SSD/html/product/1129338?tk=7&lk=9599,alternate.nl,"€ 227,",placeholder,"
          512 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 500 MB/s 
        ,
          € 0,, 
        "
"Intel® 530 series SSDMCEAW120A401, 120 GB SSD mSATA, MLC",/Intel(R)/530-series-SSDMCEAW120A401-120-GB-SSD/html/product/1126233?tk=7&lk=9599,alternate.nl,"€ 76,",placeholder,"
          120 GB 
        ,
          Lezen: 540 MB/s, Schrijven: 480 MB/s 
        ,
          € 0,, 
        "
"Intel® 530 series SSDMCEAW180A401, 180 GB SSD mSATA, MLC",/Intel(R)/530-series-SSDMCEAW180A401-180-GB-SSD/html/product/1126234?tk=7&lk=9599,alternate.nl,"€ 112,",placeholder,"
          180 GB 
        ,
          Lezen: 540 MB/s, Schrijven: 490 MB/s 
        ,
          € 0,, 
        "
"Intel® 530 series SSDMCEAW240A401, 240 GB SSD mSATA, MLC",/Intel(R)/530-series-SSDMCEAW240A401-240-GB-SSD/html/product/1126235?tk=7&lk=9599,alternate.nl,"€ 132,",placeholder,"
          240 GB 
        ,
          Lezen: 540 MB/s, Schrijven: 480 MB/s 
        ,
          € 0,, 
        "
