name,url,webshop,price,image_urls,desc
"Mushkin Scorpion Deluxe MKNP44SC1920GB-DX 1,92 TB PCIe SSD PCIe x8, MLC",/Mushkin/Scorpion-Deluxe-MKNP44SC1920GB-DX-1-92-TB-PCIe-SSD/html/product/1096147?tk=7&lk=9590,alternate.nl,"€ 1.629,-",placeholder,"
          1.92 TB 
        ,
          Lezen: 2165 MB/s, Schrijven: 1990 MB/s 
        ,
          € 0,, 
        "
"Mushkin Scorpion Deluxe MKNP44SC240GB-DX, 240 GB SSD ",/Mushkin/Scorpion-Deluxe-MKNP44SC240GB-DX-240-GB-SSD/html/product/1096144?tk=7&lk=9590,alternate.nl,"€ 414,-",placeholder,"
          240 GB 
        ,
          Lezen: 2150 MB/s, Schrijven: 1950 MB/s 
        ,
          € 1,, 
        "
"Mushkin Scorpion Deluxe MKNP44SC480GB-DX 480 GB PCIe SSD PCIe x8, MLC",/Mushkin/Scorpion-Deluxe-MKNP44SC480GB-DX-480-GB-PCIe-SSD/html/product/1096145?tk=7&lk=9590,alternate.nl,"€ 639,-",placeholder,"
          480 GB 
        ,
          Lezen: 2160 MB/s, Schrijven: 1960 MB/s 
        ,
          € 1,, 
        "
"Mushkin Scorpion Deluxe MKNP44SC960GB-DX 960 GB PCIe SSD PCIe x8, MLC",/Mushkin/Scorpion-Deluxe-MKNP44SC960GB-DX-960-GB-PCIe-SSD/html/product/1096146?tk=7&lk=9590,alternate.nl,"€ 1.049,-",placeholder,"
          960 GB 
        ,
          Lezen: 2160 MB/s, Schrijven: 1980 MB/s 
        ,
          € 1,, 
        "
"Mushkin Scorpion MKNP22SC480GB 480 GB PCIe SSD PCIe x2, MLC",/Mushkin/Scorpion-MKNP22SC480GB-480-GB-PCIe-SSD/html/product/1018963?tk=7&lk=9590,alternate.nl,"€ 419,-",placeholder,"
          480 GB 
        ,
          Lezen: 925 MB/s, Schrijven: 800 MB/s 
        ,
          € 0,, 
        "
"OCZ RevoDrive 350 RVD350-FHPX28-240G, 240 GB SSD PCIe Gen. 2 x8, MLC, TRIM",/OCZ/RevoDrive-350-RVD350-FHPX28-240G-240-GB-SSD/html/product/1142904?tk=7&lk=9590,alternate.nl,"€ 469,-",placeholder,"
          240 GB 
        ,
          Lezen: 1000 MB/s, Schrijven: 950 MB/s 
        ,
          € 1,, 
        "
"OCZ RevoDrive 350 RVD350-FHPX28-480G, 480 GB SSD PCIe Gen. 2 x8, MLC, TRIM",/OCZ/RevoDrive-350-RVD350-FHPX28-480G-480-GB-SSD/html/product/1142907?tk=7&lk=9590,alternate.nl,"€ 739,-",placeholder,"
          480 GB 
        ,
          Lezen: 1800 MB/s, Schrijven: 1700 MB/s 
        ,
          € 1,, 
        "
"OCZ RevoDrive 350 RVD350-FHPX28-960G, 960 GB SSD PCIe Gen. 2 x8, MLC, TRIM",/OCZ/RevoDrive-350-RVD350-FHPX28-960G-960-GB-SSD/html/product/1142908?tk=7&lk=9590,alternate.nl,"€ 1.149,-",placeholder,"
          960 GB 
        ,
          Lezen: 1800 MB/s, Schrijven: 1700 MB/s 
        ,
          € 1,, 
        "
"OCZ RVD3-FHPX4-120G SSD PCIe x4, RevoDrive3, MLC, ECC, AES, Lite Retail",/OCZ/RVD3-FHPX4-120G-SSD/html/product/903300?tk=7&lk=9590,alternate.nl,"€ 279,-",placeholder,"
          120 GB 
        ,
          Lezen: 975 MB/s, Schrijven: 875 MB/s 
        ,
          € 2,, 
        "
"Plextor M6e PX-AG128M6e, 128 GB SSD PCIe x2 2.0, MLC, TRIM",/Plextor/M6e-PX-AG128M6e-128-GB-SSD/html/product/1136490?tk=7&lk=9590,alternate.nl,"€ 147,",placeholder,"
          128 GB 
        ,
          Lezen: 770 MB/s, Schrijven: 335 MB/s 
        ,
          € 1,, 
        "
"Plextor M6e PX-AG256M6e, 256 GB SSD PCIe x2 2.0, MLC, TRIM",/Plextor/M6e-PX-AG256M6e-256-GB-SSD/html/product/1136492?tk=7&lk=9590,alternate.nl,"€ 244,",placeholder,"
          256 GB 
        ,
          Lezen: 770 MB/s, Schrijven: 580 MB/s 
        ,
          € 0,, 
        "
