name,url,webshop,price,image_urls,desc
"ADATA Premier Pro SP600 ASP600S3-128GM-C, 128 GB SSD SATA 600, MLC, TRIM",/ADATA/Premier-Pro-SP600-ASP600S3-128GM-C-128-GB-SSD/html/product/1039451?tk=7&lk=9585,alternate.nl,"€ 63,",placeholder,"
          128 GB 
        ,
          Lezen: 530 MB/s, Schrijven: 150 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP600 ASP600S3-256GM-C, 256 GB SSD SATA 600, MLC, TRIM",/ADATA/Premier-Pro-SP600-ASP600S3-256GM-C-256-GB-SSD/html/product/1129022?tk=7&lk=9585,alternate.nl,"€ 102,",placeholder,"
          256 GB 
        ,
          Lezen: 540 MB/s, Schrijven: 290 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP600 ASP600S3-32GM-C, 32 GB SSD SATA 600, MLC, TRIM",/ADATA/Premier-Pro-SP600-ASP600S3-32GM-C-32-GB-SSD/html/product/1039447?tk=7&lk=9585,alternate.nl,"€ 36,",placeholder,"
          32 GB 
        ,
          Lezen: 220 MB/s, Schrijven: 35 MB/s 
        ,
          € 1,, 
        "
"ADATA Premier Pro SP600 ASP600S3-64GM-C, 64 GB SSD SATA 600, MLC, TRIM",/ADATA/Premier-Pro-SP600-ASP600S3-64GM-C-64-GB-SSD/html/product/1039450?tk=7&lk=9585,alternate.nl,"€ 45,",placeholder,"
          64 GB 
        ,
          Lezen: 430 MB/s, Schrijven: 70 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP900 ASP900S3-128GM-C, 128 GB SSD SATA 600, MLC, TRIM, Retail",/ADATA/Premier-Pro-SP900-ASP900S3-128GM-C-128-GB-SSD/html/product/988420?tk=7&lk=9585,alternate.nl,"€ 66,",placeholder,"
          128 GB 
        ,
          Lezen: 545 MB/s, Schrijven: 535 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP900 ASP900S3-256GM-C, 256 GB SSD SATA 600, MLC, TRIM, Retail",/ADATA/Premier-Pro-SP900-ASP900S3-256GM-C-256-GB-SSD/html/product/988421?tk=7&lk=9585,alternate.nl,"€ 104,",placeholder,"
          256 GB 
        ,
          Lezen: 555 MB/s, Schrijven: 530 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP900 ASP900S3-64GM-C, 64 GB SSD SATA 600, MLC, TRIM, Retail",/ADATA/Premier-Pro-SP900-ASP900S3-64GM-C-64-GB-SSD/html/product/988416?tk=7&lk=9585,alternate.nl,"€ 51,",placeholder,"
          64 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 505 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP910 ASP910SS3-128GM-C, 128 GB SSD SATA 600, MLC, TRIM, 7mm",/ADATA/Premier-Pro-SP910-ASP910SS3-128GM-C-128-GB-SSD/html/product/1146535?tk=7&lk=9585,alternate.nl,"€ 74,",placeholder,"
          128 GB 
        ,
          Lezen: 540 MB/s, Schrijven: 160 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP910 ASP910SS3-256GM-C, 256 GB SSD SATA 600, MLC, TRIM, 7mm",/ADATA/Premier-Pro-SP910-ASP910SS3-256GM-C-256-GB-SSD/html/product/1146536?tk=7&lk=9585,alternate.nl,"€ 124,",placeholder,"
          256 GB 
        ,
          Lezen: 540 MB/s, Schrijven: 320 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP910 ASP910SS3-512GM-C, 512 GB SSD SATA 600, MLC, TRIM, 7mm",/ADATA/Premier-Pro-SP910-ASP910SS3-512GM-C-512-GB-SSD/html/product/1146537?tk=7&lk=9585,alternate.nl,"€ 224,",placeholder,"
          512 GB 
        ,
          Lezen: 560 MB/s, Schrijven: 460 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP920 ASP920SS3-128GM-C, 128 GB SSD SATA/600, MLC, trim",/ADATA/Premier-Pro-SP920-ASP920SS3-128GM-C-128-GB-SSD/html/product/1133104?tk=7&lk=9585,alternate.nl,"€ 72,",placeholder,"
          128 GB 
        ,
          Lezen: 560 MB/s, Schrijven: 180 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier Pro SP920 ASP920SS3-256GM-C, 256 GB SSD SATA/600, MLC, trim",/ADATA/Premier-Pro-SP920-ASP920SS3-256GM-C-256-GB-SSD/html/product/1133110?tk=7&lk=9585,alternate.nl,"€ 122,",placeholder,"
          256 GB 
        ,
          Lezen: 560 MB/s, Schrijven: 360 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier SP610 ASP610SS3-128GM-C, 128 GB SSD SATA 600, MLC, TRIM",/ADATA/Premier-SP610-ASP610SS3-128GM-C-128-GB-SSD/html/product/1142789?tk=7&lk=9585,alternate.nl,"€ 66,",placeholder,"
          128 GB 
        ,
          Lezen: 560 MB/s, Schrijven: 150 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier SP610 ASP610SS3-1TM-C, 1 TB SSD SATA 600, MLC, TRIM",/ADATA/Premier-SP610-ASP610SS3-1TM-C-1-TB-SSD/html/product/1142798?tk=7&lk=9585,alternate.nl,"€ 424,-",placeholder,"
          1 TB 
        ,
          Lezen: 560 MB/s, Schrijven: 450 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier SP610 ASP610SS3-256GM-C, 256 GB SSD SATA 600, MLC, TRIM",/ADATA/Premier-SP610-ASP610SS3-256GM-C-256-GB-SSD/html/product/1142796?tk=7&lk=9585,alternate.nl,"€ 109,",placeholder,"
          256 GB 
        ,
          Lezen: 560 MB/s, Schrijven: 290 MB/s 
        ,
          € 0,, 
        "
"ADATA Premier SP610 ASP610SS3-512GM-C, 512 GB SSD SATA 600, MLC, TRIM",/ADATA/Premier-SP610-ASP610SS3-512GM-C-512-GB-SSD/html/product/1142797?tk=7&lk=9585,alternate.nl,"€ 209,",placeholder,"
          512 GB 
        ,
          Lezen: 560 MB/s, Schrijven: 450 MB/s 
        ,
          € 0,, 
        "
"ADATA S510 Serie AS510S3-120GM-C, 120 GB SSD SATA 600, MLC, TRIM, Retail",/ADATA/S510-Serie-AS510S3-120GM-C-120-GB-SSD/html/product/936034?tk=7&lk=9585,alternate.nl,"€ 73,",placeholder,"
          120 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 510 MB/s 
        ,
          € 0,, 
        "
"ADATA S510 Serie AS510S3-60GM-C, 60 GB SSD SATA 600, MLC, TRIM, Retail",/ADATA/S510-Serie-AS510S3-60GM-C-60-GB-SSD/html/product/953344?tk=7&lk=9585,alternate.nl,"€ 59,",placeholder,"
          60 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 500 MB/s 
        ,
          € 1,-, 
        "
"ADATA SX1000L ASX1000LS3-100GM-C, 100 GB SSD SATA 600, MLC, TRIM",/ADATA/SX1000L-ASX1000LS3-100GM-C-100-GB-SSD/html/product/1090109?tk=7&lk=9585,alternate.nl,"€ 132,",placeholder,"
          100 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 500 MB/s 
        ,
          € 1,, 
        "
"ADATA SX1000L ASX1000LS3-200GM-C, 200 GB SSD SATA 600, MLC, TRIM",/ADATA/SX1000L-ASX1000LS3-200GM-C-200-GB-SSD/html/product/1090112?tk=7&lk=9585,alternate.nl,"€ 249,",placeholder,"
          200 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 500 MB/s 
        ,
          € 1,, 
        "
"ADATA SX1000L ASX1000LS3-400GM-C, 400 GB SSD SATA 600, MLC, TRIM",/ADATA/SX1000L-ASX1000LS3-400GM-C-400-GB-SSD/html/product/1090113?tk=7&lk=9585,alternate.nl,"€ 458,-",placeholder,"
          400 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 500 MB/s 
        ,
          € 1,, 
        "
"ADATA XPG SX900 ASX900S3-128GM-C, 128 GB SSD SATA 600, MLC, TRIM, Retail",/ADATA/XPG-SX900-ASX900S3-128GM-C-128-GB-SSD/html/product/988417?tk=7&lk=9585,alternate.nl,"€ 71,",placeholder,"
          128 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 520 MB/s 
        ,
          € 0,, 
        "
"ADATA XPG SX900 ASX900S3-256GM-C, 256 GB SSD SATA 600, MLC, TRIM, Retail",/ADATA/XPG-SX900-ASX900S3-256GM-C-256-GB-SSD/html/product/988418?tk=7&lk=9585,alternate.nl,"€ 119,",placeholder,"
          256 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 530 MB/s 
        ,
          € 0,, 
        "
"ADATA XPG SX900 ASX900S3-512GM-C, 512 GB SSD SATA 600, MLC, TRIM, Retail",/ADATA/XPG-SX900-ASX900S3-512GM-C-512-GB-SSD/html/product/988419?tk=7&lk=9585,alternate.nl,"€ 222,",placeholder,"
          512 GB 
        ,
          Lezen: 540 MB/s, Schrijven: 465 MB/s 
        ,
          € 0,, 
        "
"ADATA XPG SX900 ASX900S3-64GM-C, 64 GB SSD SATA 600, MLC, TRIM, Retail",/ADATA/XPG-SX900-ASX900S3-64GM-C-64-GB-SSD/html/product/988415?tk=7&lk=9585,alternate.nl,"€ 61,",placeholder,"
          64 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 510 MB/s 
        ,
          € 0,, 
        "
"ADATA XPG SX910 ASX910S3-128GM-C, 128 GB SSD SATA 600, MLC, TRIM, Bulk",/ADATA/XPG-SX910-ASX910S3-128GM-C-128-GB-SSD/html/product/1017249?tk=7&lk=9585,alternate.nl,"€ 81,",placeholder,"
          128 GB 
        ,
          Lezen: 550 MB/s, Schrijven: 530 MB/s 
        ,
          € 0,, 
        "
